timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count
12/3/2019 12:14,This one deep o 🤔  #TuesdayMotivation #TuesdayThoughts #BallonDor #BallonDor2019 https://t.co/UV6oxCH4mO,Sidomex,"[u'TuesdayMotivation', u'TuesdayThoughts', u'BallonDor', u'BallonDor2019']",9683,10928
12/3/2019 12:14,2019 calendar year:  Most goals: Lewandowski Most assists: Muller Most NT/UEFA goals: Ronaldo Most club goals: Lewandowski C. America winner: Brazil C. America MVP: Alves CL winner: Liverpool CL MVP: Van Dijk  #BallonDor Messi 🤔🤔🤔,Mubarack_Umar,[u'BallonDor'],19131,21938
12/3/2019 12:14,#LionelMessi wins #BallonDor 2019 !!! Enjoy All 30 Top Players by #FranceFootball in #LEGO [ Full video🎥  https://t.co/k3ib58yeTG ] Video: Le classement complet du Ballon d'Or France Football 2019 ! #LeoMessi #BallonDor2019 #Messi #LegoFootball #LegoSport #LegoCalcio,LegoFootball,"[u'LionelMessi', u'BallonDor', u'FranceFootball', u'LEGO', u'LeoMessi', u'BallonDor2019', u'Messi', u'LegoFootball', u'LegoSport', u'LegoCalcio']",911,1029
12/3/2019 12:14,"- Anfield horror show - Barça playing some of the most passive football under Valverde - Copa America heart break  Despite all of this, finally something truly meritorious to honour the legend of Lionel Messi. #Messi  #BallonDor https://t.co/mwvW2KWXrE",Wasirehman710,"[u'Messi', u'BallonDor']",395,412
12/3/2019 12:14,"How to explain the greatness of Messi to a cricket fan. If he played cricket he would  bat 10X better than Kohli,  would bowl 10X better than Bhumrah, would field 10X better than Jonty  and would be as humble as Dhoni  #Messi #BallonDor",sachinsadl,"[u'Messi', u'BallonDor']",144,312
12/3/2019 12:13,Quick #Messi  recap:  #BallondOr  #BallondOr  #BallondOr  #BallondOr  #BallondOr  #BallondOr   #GOATisCuler,theCaresOneNo,"[u'Messi', u'BallondOr', u'BallondOr', u'BallondOr', u'BallondOr', u'BallondOr', u'BallondOr', u'GOATisCuler']",1,12
12/3/2019 12:13,The Fastest Way to Lose Belly Fat  https://t.co/qCDRHM90uA  #BlackWidow Opay Piers Vodacom Ronaldo Modric GOAT #BallonDor iPhone 6 Daura Keyamo Drogba #NewProfilePic #BallonDor2019 #TuesdayMotivation #TuesdayThoughts #TuesdayMorning #tuesdayvibes #MESSI,naija_gym,"[u'BlackWidow', u'BallonDor', u'NewProfilePic', u'BallonDor2019', u'TuesdayMotivation', u'TuesdayThoughts', u'TuesdayMorning', u'tuesdayvibes', u'MESSI']",13229,12039
12/3/2019 12:13,The closest Ballon d'Or vote this century:  🥇Lionel Messi: 24.4% 🥈Virgil van Dijk: 24.1%  What a race!  #BallonDor #BallonDor2019 #Messi #VVD https://t.co/vD70Qh8J2v,Sportingbet_com,"[u'BallonDor', u'BallonDor2019', u'Messi', u'VVD']",26943,27816
12/3/2019 12:12,"They would be the first to call you to see Ronaldo is losing, they would be the last to talk when Messi has a bad day. They would be the first to shout that Islams killed people, but forget what happened during the crusades  Be more like your idols. Less loud mouthed.  #BallonDor",michaelpapi_,[u'BallonDor'],1126,
12/3/2019 12:12,Meet the pineapple queen Edited by @DecimalAjems @worldbestkopiko  #TuesdayMotivation #TuesdayThoughts #30secondsRaidOnly #BallonDor2019 #BallonDor #MESSIX #VikramLander https://t.co/XC94vIBHd2,PhotographyTbm,"[u'TuesdayMotivation', u'TuesdayThoughts', u'30secondsRaidOnly', u'BallonDor2019', u'BallonDor', u'MESSIX', u'VikramLander']",1,
12/3/2019 12:12,"Ronaldo won 2013 #BallonDor  even after his team finished 15 points behind Barcelona in Laliga, bottled the Copa Del Rey Final to Atletico Madrid (final that was played at Santiago). got knocked out of the Champions League. That is 0 trophies but he still won it. #BallonDor2019 https://t.co/1sKk1B3qYQ",Timmy_Cule,"[u'BallonDor', u'BallonDor2019']",2506,3120
12/3/2019 12:12,"Quality #sneakers available at discounted rate of 20%  Sizes: 38-40 Price: #7,200 Packaging: Box Delivery is Nationwide Send DM or contact 07065510487 to #order  #Daswiftwears #daswiftlink #EndOfYear #discounts #sale #abuja #iPhone6 #Opay #BallonDor #TuesdayMotivation #Davido https://t.co/SHZ98MSj9j",DaSwiftWears,"[u'sneakers', u'order', u'Daswiftwears', u'daswiftlink', u'EndOfYear', u'discounts', u'sale', u'abuja', u'iPhone6', u'Opay', u'BallonDor', u'TuesdayMotivation', u'Davido']",2685,2791
12/3/2019 12:11,They should just limit the number of times a player can win the #BallonDor.  3 times perhaps?  Let others have a chance.  Its been rather boring the last decade.,A1ex96Venom,[u'BallonDor'],278,
12/3/2019 12:11,@brfootball And Katie might wonder where here brother was in all of this:  Only 17 chosen as number 1...... 69/61 over 17.  Do I need to say more? #BallonDor https://t.co/gTVryJHwt4,MarB____,[u'BallonDor'],109,
12/3/2019 12:11,@FixedMs It's not new that you remain the best when it's comes to fixed games. @FixedMs thank you for this game  #Nigerian #BallonDor2019 #BallonDor #MESSIX #30secondsRaidOnly #CitiCBS #hdfcbankdown #ShowbizAgenda #MAMA2019 #HuaweiFreeBuds3 https://t.co/vYAJCsY8rI,UgwuMartins16,"[u'Nigerian', u'BallonDor2019', u'BallonDor', u'MESSIX', u'30secondsRaidOnly', u'CitiCBS', u'hdfcbankdown', u'ShowbizAgenda', u'MAMA2019', u'HuaweiFreeBuds3']",19,
12/3/2019 12:11,When Messi wins the seventh... Shey Ororo go still won wear number 7 like this #BallonDor #GOAT #MESSIX #Messi,chizzy_the,"[u'BallonDor', u'GOAT', u'MESSIX', u'Messi']",207,
12/3/2019 12:10,We know Messi is good and all that. But the only reason I can think he won #BallonDor over @VirgilvDijk is that @andrewrobertso5 gave him a pat on the head for good luck. https://t.co/gELVNffBGb,SamTaylor90,[u'BallonDor'],17,
12/3/2019 12:10,@classicfm911 Damilola still staying tuned from Oyo state #MESSIX  #BallonDor,OnyxDickson,"[u'MESSIX', u'BallonDor']",243,
12/3/2019 12:10,The Ballon D'or is just a joke. Period.  How didn't Ronaldo win it over Mdoric?  How didn't Salah win it for scoring 44 goals in England?  All about PR. Agenda driven.  #BallonDor,Hxnz99,[u'BallonDor'],115,
12/3/2019 12:09,"In the never ending saga of Messi vs Ronaldo, after VVD's comments and the bitter response he has received it just further proves the undeniable. You can't be the greatest if you have to keep telling people how great you are, they will do that for you. #BallonDor",TheOrigJonny,[u'BallonDor'],192,
12/3/2019 12:09,I really appreciate this win @MrDavidFixed1 thank you very much for this. #BallonDor2019 #BallonDor #MESSIX #TuesdayMotivation #TuesdayThoughts #30secondsRaidOnly #TuesdayMorning #CitiCBS #hdfcbankdown #ShowbizAgenda #MAMA2019 #PTIStabilisesEconomy #ArrestSonko #COPAAfrica2019 https://t.co/1sSGLHCD2N,MrWilliamPat,"[u'BallonDor2019', u'BallonDor', u'MESSIX', u'TuesdayMotivation', u'TuesdayThoughts', u'30secondsRaidOnly', u'TuesdayMorning', u'CitiCBS', u'hdfcbankdown', u'ShowbizAgenda', u'MAMA2019', u'PTIStabilisesEconomy', u'ArrestSonko', u'COPAAfrica2019']",45,
