"SUBSTITUTE(C,CHAR(CODE(LEFT(C))),"""")",timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count,,
0,12/3/2019 12:14,This one deep o 🤔  ,Sidomex,"[u'TuesdayMotivation', u'TuesdayThoughts', u'BallonDor', u'BallonDor2019']",9683,10928,,neg
1,12/3/2019 12:14,2019 calendar year:  Most goals: Lewandowski Most assists: Muller Most NT/UEFA goals: Ronaldo Most club goals: Lewandowski C. America winner: Brazil C. America MVP: Alves CL winner: Liverpool CL MVP: Van Dijk  #BallonDor Messi 🤔🤔🤔,Mubarack_Umar,[u'BallonDor'],19131,21938,,pos
6,12/3/2019 12:13,The Fastest Way to Lose Belly Fat  https://t.co/qCDRHM90uA  #BlackWidow Opay Piers Vodacom Ronaldo Modric GOAT #BallonDor iPhone 6 Daura Keyamo Drogba,naija_gym,"[u'BlackWidow', u'BallonDor', u'NewProfilePic', u'BallonDor2019', u'TuesdayMotivation', u'TuesdayThoughts', u'TuesdayMorning', u'tuesdayvibes', u'MESSI']",13229,12039,,pos
7,12/3/2019 12:13,The closest Ballon d'Or vote this century:  🥇Lionel Messi: 24.4% 🥈Virgil van Dijk: 24.1%  What a race!  #BallonDor #BallonDor2019 #Messi #VVD https://t.co/vD70Qh8J2v,Sportingbet_com,"[u'BallonDor', u'BallonDor2019', u'Messi', u'VVD']",26943,27816,,pos
10,12/3/2019 12:12,"Ronaldo won 2013 #BallonDor  even after his team finished 15 points behind Barcelona in Laliga, bottled the Copa Del Rey Final to Atletico Madrid (final that was played at Santiago). got knocked out of the Champions League. That is 0 trophies but he still won it. #BallonDor2019 https://t.co/1sKk1B3qYQ",Timmy_Cule,"[u'BallonDor', u'BallonDor2019']",2506,3120,,pos
11,12/3/2019 12:12,"Quality #sneakers available at discounted rate of 20%  Sizes: 38-40 Price: #7,200 Packaging: Box Delivery is Nationwide Send DM or contact 07065510487 to #order  #Daswiftwears #daswiftlink #EndOfYear #discounts #sale #abuja #iPhone6 #Opay #BallonDor #TuesdayMotivation #Davido https://t.co/SHZ98MSj9j",DaSwiftWears,"[u'sneakers', u'order', u'Daswiftwears', u'daswiftlink', u'EndOfYear', u'discounts', u'sale', u'abuja', u'iPhone6', u'Opay', u'BallonDor', u'TuesdayMotivation', u'Davido']",2685,2791,,pos
21,12/3/2019 12:09,"At the end of 2019 #BallonDor awards. Africa managed 4th, 5th best with Mané and Salah respectively.  Mané's ranking has however drawn criticism after a good year for club and country.  What was your reaction to the outcome. #AfricanewsPolls 🇸🇳🇪🇬⚽️🏆",africanews,"[u'BallonDor', u'AfricanewsPolls']",37854,38019,,pos
28,12/3/2019 12:08,The official top 10 from the Men's Ballon d'Or by ranking points.  Just seven votes separated Lionel Messi and Virgil van Dijk in the #BallondOr 😱 https://t.co/StOWRXagvO,SquawkaNews,[u'BallondOr'],21710,67123,,neg
33,12/3/2019 12:07,King Leo harbours no beef.   #BallonDor2019 #BallonDor   Read more: https://t.co/gcy652QqVm #tukonews,Tuko_co_ke,"[u'BallonDor2019', u'BallonDor', u'tukonews']",73059,101911,,neg
38,12/3/2019 12:06,Lionel Messi wins Ballon d'Or for record sixth time https://t.co/SdmKKqKH5m #BallondOr #football,insidethegames,"[u'BallondOr', u'football']",29138,30101,,pos
41,12/3/2019 12:06,"Legends don’t care about trends, they focus on the dream to make it manifest. They make every minute of their lives a memorable one. This’s what separates the men from the boys. Drogba uses iPhone 6, let’s learn some sense #BallonDor https://t.co/cJ7YWJBnH1",Mawunya_,[u'BallonDor'],16118,19783,,pos
48,12/3/2019 12:05,Will Cristiano win another #BallonDor before retiring? 🤨 https://t.co/sBchsileUa,90min_Football,[u'BallonDor'],16415,17628,,pos
51,12/3/2019 12:04,You can buy #BallonDor but you cannot buy international trophy. Done well for football 💪 @Cristiano the GOAT🐐 https://t.co/apshaOQk9A,NurkeyFurey1,[u'BallonDor'],3643,4019,,neg
52,12/3/2019 12:04,#Messi #BallonDOr #MessiBalonDeOro #LionelMessi  The Argentine footballer Lionel Messi wins a record-breaking sixth Ballon d’Or.  https://t.co/DZMQDiXycs,theBAtimes,"[u'Messi', u'BallonDOr', u'MessiBalonDeOro', u'LionelMessi']",3382,4561,,pos
53,12/3/2019 12:03,Mateo Messi absolutely loving it at the #BallonDor ❤️❤️ https://t.co/LxutvuALxn,rockingnepal201,[u'BallonDor'],4388,5109,,pos
58,12/3/2019 12:02,NUC Uncovers 100 Fake Professors In Nigerian Universities #HuaweiFreeBuds3 #MESSIX #SaveOurData #BallonDor  https://t.co/2Nk4EP4adJ,an24TV,"[u'HuaweiFreeBuds3', u'MESSIX', u'SaveOurData', u'BallonDor']",2171,2011,,neg
61,12/3/2019 12:02,Another day and yes I’m still pissed @VirgilvDijk didn’t witness the #BallonDor,carpetmucherGTS,[u'BallonDor'],6941,7677,,neg
64,12/3/2019 12:01,Votes au #BallonDor @francefootball :  Europe : 1️⃣ Van Dijk (231 pts) 2️⃣ Messi (194) 3️⃣ Ronaldo (151)  Afrique : 1️⃣ Messi (187) 2️⃣ Mané (170) 3️⃣ Van Dijk (154)  Am. du Sud : 1️⃣ Messi (47) 2️⃣ Van Dijk (39)... https://t.co/9H6dWAXziA,emerypabandji,[u'BallonDor'],2185,2201,,pos
66,12/3/2019 12:01,Türkiye’nin #BallonDor ’daki tercihleri;  1️⃣ #VanDijk 2️⃣ #Ronaldo 3️⃣ #Mbappe 4️⃣ #Salah 5️⃣ #Messi https://t.co/V76vtaASoI,DeportesReports,"[u'BallonDor', u'VanDijk', u'Ronaldo', u'Mbappe', u'Salah', u'Messi']",23717,25161,,neg
67,12/3/2019 12:01,"With Lionel Messi the now confirmed best player of 2019 after winning a record-breaking 6th Ballon D'Or, how do his stats compare to long-time rival Cristiano Ronaldo? 🐐👏🥇  #BallonDor #BeSoccer #football https://t.co/ruOLpjPiey",besoccer_com,"[u'BallonDor', u'BeSoccer', u'football']",3751,4119,,pos
70,12/3/2019 12:00,"""Johnson was a man with great foresight, a quintessential manager of resources."" - Sanwo-Olu  #MESSIX #SaveOurData #Shiloh2019 #BallonDor #TuesdayMotivation  https://t.co/bhcL2vlMmw",an24TV,"[u'MESSIX', u'SaveOurData', u'Shiloh2019', u'BallonDor', u'TuesdayMotivation']",2171,2201,,neg
71,12/3/2019 12:00,Journalist picks Trent Alexander-Arnold to win the #BallonDor https://t.co/BvOyBBVYEG https://t.co/R92gXqNOmg,TheSunFootball,[u'BallonDor'],43206,62511,,pos
73,12/3/2019 12:00,2⃣0⃣0⃣9⃣ 🏆 #BallonDor 179 matches 91 buts ⚽  2⃣0⃣1⃣9⃣ 🏆🏆🏆🏆🏆🏆 #BallonDor 701 matches 614 buts ⚽  #GoatIsCuler https://t.co/K0rVCsaauE,fcbarcelona_fra,"[u'BallonDor', u'BallonDor', u'GoatIsCuler']",10876,7612,,neg
75,12/3/2019 12:00,"Some great memories in there...  #Messi, Owen &amp; Co. - all #ballondor winners since 1990 📸➡️ https://t.co/yGCQ2QKiqA  #LFC #Barca #BallonDor2019 https://t.co/58TGfuYdmf",TMuk_news,"[u'Messi', u'ballondor', u'LFC', u'Barca', u'BallonDor2019']",30287,31019,,pos
78,12/3/2019 11:59,Votes au #BallonDor @francefootball :  Europe : 1️⃣ Van Dijk (231 pts) 2️⃣ Messi (194) 3️⃣ Ronaldo (151)  Afrique : 1️⃣ Messi (187) 2️⃣ Mané (170) 3️⃣ Van Dijk (154)  Am. du Sud : 1️⃣ Messi (47) 2️⃣ Van Dijk (39) 3️⃣ Ronaldo (34)  Asie : 1️⃣ Van Dijk (155) 2️⃣ Messi (134) 3️⃣ Ronaldo (100),ActuFoot_,[u'BallonDor'],20198,31425,,pos
