timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count
12/3/2019 12:16,Congratulations Leo #Messi #BallonDor2019,archimanjewel,"[u'Messi', u'BallonDor2019']",29,
12/3/2019 12:15,My sojourn on Piers Morgan’s TL gave me some good laughs...Gbas Gbos everywhere #BallonDor2019 #Messi #MESSIX https://t.co/QtWgciFtee,Burnega,"[u'BallonDor2019', u'Messi', u'MESSIX']",197,
12/3/2019 12:15,#messi The legend : Congratulations https://t.co/Nd8kz09Z69,archimanjewel,[u'messi'],29,
12/3/2019 12:14,Forget #Messi...@danielmarven is the real 🐐 #GOAT @pmcafrica #PechéAfrica https://t.co/Ttahp3Un0O,pmcafrica,"[u'Messi', u'GOAT', u'Pech\xe9Africa']",31191,36271
12/3/2019 12:14,#LionelMessi wins #BallonDor 2019 !!! Enjoy All 30 Top Players by #FranceFootball in #LEGO [ Full video🎥  https://t.co/k3ib58yeTG ] Video: Le classement complet du Ballon d'Or France Football 2019 ! #LeoMessi #BallonDor2019 #Messi #LegoFootball #LegoSport #LegoCalcio,LegoFootball,"[u'LionelMessi', u'BallonDor', u'FranceFootball', u'LEGO', u'LeoMessi', u'BallonDor2019', u'Messi', u'LegoFootball', u'LegoSport', u'LegoCalcio']",911,
12/3/2019 12:14,#ميسي  #Messi  There is only one legend  💙 ❤️ https://t.co/d2ObiL5DgN,AhVadel,"[u'\u0645\u064a\u0633\u064a', u'Messi']",105,
12/3/2019 12:14,@MattHDGamer @brfootball Should've been a bigger gap #Messi,AzzaJay98,[u'Messi'],16,
12/3/2019 12:14,"- Anfield horror show - Barça playing some of the most passive football under Valverde - Copa America heart break  Despite all of this, finally something truly meritorious to honour the legend of Lionel Messi. #Messi  #BallonDor https://t.co/mwvW2KWXrE",Wasirehman710,"[u'Messi', u'BallonDor']",395,
12/3/2019 12:14,"How to explain the greatness of Messi to a cricket fan. If he played cricket he would  bat 10X better than Kohli,  would bowl 10X better than Bhumrah, would field 10X better than Jonty  and would be as humble as Dhoni  #Messi #BallonDor",sachinsadl,"[u'Messi', u'BallonDor']",144,
12/3/2019 12:13,Okay Adding Yasir Shah To The List 😂  #MESSIX #Messi https://t.co/onY7jaTNK4,khushikadri,"[u'MESSIX', u'Messi']",14594,15019
12/3/2019 12:13,Quick #Messi  recap:  #BallondOr  #BallondOr  #BallondOr  #BallondOr  #BallondOr  #BallondOr   #GOATisCuler,theCaresOneNo,"[u'Messi', u'BallondOr', u'BallondOr', u'BallondOr', u'BallondOr', u'BallondOr', u'BallondOr', u'GOATisCuler']",1,
12/3/2019 12:13,Congrats leo #GOAT #messi,aadlisyahmii,"[u'GOAT', u'messi']",156,
12/3/2019 12:13,The Fastest Way to Lose Belly Fat  https://t.co/qCDRHM90uA  #BlackWidow Opay Piers Vodacom Ronaldo Modric GOAT #BallonDor iPhone 6 Daura Keyamo Drogba #NewProfilePic #BallonDor2019 #TuesdayMotivation #TuesdayThoughts #TuesdayMorning #tuesdayvibes #MESSI,naija_gym,"[u'BlackWidow', u'BallonDor', u'NewProfilePic', u'BallonDor2019', u'TuesdayMotivation', u'TuesdayThoughts', u'TuesdayMorning', u'tuesdayvibes', u'MESSI']",13229,14312
12/3/2019 12:13,It's DFK Please follow me  Been suspended once more I don't understand what is going on  #TuesdayThoughts  #TuesdayMotivation  #KOTLoyalsOnly  #Messi #TwitterPurge,DFKNyamokami,"[u'TuesdayThoughts', u'TuesdayMotivation', u'KOTLoyalsOnly', u'Messi', u'TwitterPurge']",13,
12/3/2019 12:13,The closest Ballon d'Or vote this century:  🥇Lionel Messi: 24.4% 🥈Virgil van Dijk: 24.1%  What a race!  #BallonDor #BallonDor2019 #Messi #VVD https://t.co/vD70Qh8J2v,Sportingbet_com,"[u'BallonDor', u'BallonDor2019', u'Messi', u'VVD']",26943,13567
12/3/2019 12:11,Lionel Messi wins the Ballon d'Or for a record sixth time. Is he the best ever? #debate #messi #ronaldo #success https://t.co/KtvtNnWuml,AsmEmployment,"[u'debate', u'messi', u'ronaldo', u'success']",16,
12/3/2019 12:11,@WeAreMessi @imessi @LeoMessiFanClub @TeamMessi @fundacionmessi @fcbarcelona_tr @fcbarcelona_id @fcbarcelona_br @fcbarcelona_ara @FCBarcelona_cat 🌟 Leo #Messi im #TeamOfTheYear 2019❓🤗  Voting 👉 https://t.co/XMO9mFiY4w https://t.co/QpfQnYQwz2,UEFAcom_de,"[u'Messi', u'TeamOfTheYear']",54512,55413
12/3/2019 12:11,That’s settled then   #GOAT #Messi #BallonDor2019 https://t.co/e6UHE7PHgh,J487C,"[u'GOAT', u'Messi', u'BallonDor2019']",15,
12/3/2019 12:11,When Messi wins the seventh... Shey Ororo go still won wear number 7 like this #BallonDor #GOAT #MESSIX #Messi,chizzy_the,"[u'BallonDor', u'GOAT', u'MESSIX', u'Messi']",207,
12/3/2019 12:11,@ChampionsLeague @juventusfcen Share this hashtag  #Messi  😍,OdayCha,[u'Messi'],96,
12/3/2019 12:10,"Unpopular Opinion  Winning Champions League and World Cup does not make you deserve Balon D'or. Have you asked yourself why the follow players won it  Michael Owen Shevchenko Pavel Nedved    Zidane, Ronaldo doesn't have 3 each even as they won 3 World best ???  #Messi #Thread",checkola26,"[u'Messi', u'Thread']",2156,2819
12/3/2019 12:09,@brfootball The best of all #Messi,abuuh108,[u'Messi'],2,
12/3/2019 12:09,Maybe we should let celebs be pundits so no one will get triggered when MESSI WINS AGAIN. #BallonDor2019 #Messi🐐  #Messi6,georgeploumidis,"[u'BallonDor2019', u'Messi', u'Messi6']",673,
12/3/2019 12:09,@oku_yungx By the time @Cristiano  👑...  hangs his boot professionally... I believe he would have more Ballin D' Or than #Messi.   CR7 is braver professionally. He has taken more risk in playing for more clubs. Has always moved away from his comfort zone to prove he is the best.,judahalliedent,[u'Messi'],1041,
