,timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count,,
3,12/3/2019 12:14,Forget #Messi...@danielmarven is the real 🐐 #GOAT @pmcafrica #PechéAfrica https://t.co/Ttahp3Un0O,pmcafrica,"[u'Messi', u'GOAT', u'Pech\xe9Africa']",31191,36271,,neg
9,12/3/2019 12:13,Okay Adding Yasir Shah To The List 😂  #MESSIX #Messi https://t.co/onY7jaTNK4,khushikadri,"[u'MESSIX', u'Messi']",14594,15019,,pos
12,12/3/2019 12:13,The Fastest Way to Lose Belly Fat  https://t.co/qCDRHM90uA  #BlackWidow Opay Piers Vodacom Ronaldo Modric GOAT #BallonDor iPhone 6 Daura Keyamo Drogba #NewProfilePic #BallonDor2019 #TuesdayMotivation #TuesdayThoughts #TuesdayMorning #tuesdayvibes #MESSI,naija_gym,"[u'BlackWidow', u'BallonDor', u'NewProfilePic', u'BallonDor2019', u'TuesdayMotivation', u'TuesdayThoughts', u'TuesdayMorning', u'tuesdayvibes', u'MESSI']",13229,14312,,pos
14,12/3/2019 12:13,The closest Ballon d'Or vote this century:  🥇Lionel Messi: 24.4% 🥈Virgil van Dijk: 24.1%  What a race!  #BallonDor #BallonDor2019 #Messi #VVD https://t.co/vD70Qh8J2v,Sportingbet_com,"[u'BallonDor', u'BallonDor2019', u'Messi', u'VVD']",26943,13567,,pos
16,12/3/2019 12:11,@WeAreMessi @imessi @LeoMessiFanClub @TeamMessi @fundacionmessi @fcbarcelona_tr @fcbarcelona_id @fcbarcelona_br @fcbarcelona_ara @FCBarcelona_cat 🌟 Leo #Messi im #TeamOfTheYear 2019❓🤗  Voting 👉 https://t.co/XMO9mFiY4w https://t.co/QpfQnYQwz2,UEFAcom_de,"[u'Messi', u'TeamOfTheYear']",54512,55413,,neg
20,12/3/2019 12:10,"Unpopular Opinion  Winning Champions League and World Cup does not make you deserve Balon D'or. Have you asked yourself why the follow players won it  Michael Owen Shevchenko Pavel Nedved    Zidane, Ronaldo doesn't have 3 each even as they won 3 World best ???  #Messi #Thread",checkola26,"[u'Messi', u'Thread']",2156,2819,,neg
27,12/3/2019 12:08,Ronaldo fans should realize that the highest praise to say of Ronaldo is that he was the only player who got close to challenging Messi at the pinnacle of football #Messi #Ronaldo,Dan_the_Bank,"[u'Messi', u'Ronaldo']",3734,7892,,neg
32,12/3/2019 12:06,Twitter have given Messi the goat emoji for his hashtag. 😳🔥🔥  #Messi,FUTJack__,[u'Messi'],10547,11029,,pos
35,12/3/2019 12:05,MESSI POTM IS ACTUALLY A THING.   He’s been included in the nominees...along with Morata &amp; Benzema.   Could it? 👀🤔  #FIFA20 #LaLiga #Messi #POTM,FUTJack__,"[u'FIFA20', u'LaLiga', u'Messi', u'POTM']",10547,46271,,pos
36,12/3/2019 12:04,"New post in ""La voz en español""!  Listen to the voice of the former president #MarianoRajoy and practice your comprehension.  Click link and practice.  https://t.co/enTZxgKzYG  #PracticaEspañol #LearnSpanish #ELE #RealMadrid #Messi @realmadrid @realmadrid__fa",practicaespanol,"[u'MarianoRajoy', u'PracticaEspa\xf1ol', u'LearnSpanish', u'ELE', u'RealMadrid', u'Messi']",5559,7829,,pos
