timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count
12/3/2019 12:16,Credits unknown to me....  Maar dit is hilarisch! Go #MateoMessi   #BallonDor #Ronaldo https://t.co/vJQkhuXqCP,MarB____,"[u'MateoMessi', u'BallonDor', u'Ronaldo']",109,
12/3/2019 12:11,Lionel Messi wins the Ballon d'Or for a record sixth time. Is he the best ever? #debate #messi #ronaldo #success https://t.co/KtvtNnWuml,AsmEmployment,"[u'debate', u'messi', u'ronaldo', u'success']",16,
12/3/2019 12:11,Cristiano #Ronaldo's sister in furious rant at Virgil Van Dijk and Liverpool after Ballon d'Or comments - Liverpool Echo #LFC 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #Premier_League  https://t.co/8h22ta5PoD,footy90com,"[u'Ronaldo', u'LFC', u'Premier_League']",56458,57382
12/3/2019 12:10,The energy✊🏿 The vibes✊🏿 #Ronaldo @Cristiano https://t.co/tWGXcr2jaB,musa__sg,[u'Ronaldo'],418,
12/3/2019 12:09,Its all about the first ever home &amp; maintenance App in Ghana.  PEPs APP-click the link below to download the App from google play store for FREE! https://t.co/MWYwbi0uKG #Ronaldo  #ghana #SaveOurData https://t.co/M0AZ83pnsJ,PeponiGruppe,"[u'Ronaldo', u'ghana', u'SaveOurData']",19,
12/3/2019 12:09,To all Messi Fan   You're just like a Goat setting in a comfort zone.  #Ronaldo is Lord of football https://t.co/9PUiR4yPKc,Deenedge,[u'Ronaldo'],405,
12/3/2019 12:08,Ronaldo fans should realize that the highest praise to say of Ronaldo is that he was the only player who got close to challenging Messi at the pinnacle of football #Messi #Ronaldo,Dan_the_Bank,"[u'Messi', u'Ronaldo']",3734,
12/3/2019 12:01,Türkiye’nin #BallonDor ’daki tercihleri;  1️⃣ #VanDijk 2️⃣ #Ronaldo 3️⃣ #Mbappe 4️⃣ #Salah 5️⃣ #Messi https://t.co/V76vtaASoI,DeportesReports,"[u'BallonDor', u'VanDijk', u'Ronaldo', u'Mbappe', u'Salah', u'Messi']",23717,26471
12/3/2019 12:00,‘Ronaldo wants Ballon d’Or at Juventus &amp; will stay’ – Paratici plays down exit talk around Portuguese #CR7 #Ronaldo https://t.co/DAPfeffOQu,Burtytweets,"[u'CR7', u'Ronaldo']",2291,3111
12/3/2019 12:00,Big virgil touched a nerve with #ronaldo sister. 😭😭😂,seannm93,[u'ronaldo'],300,
12/3/2019 11:56,"A reminder that football didn't start with #Messi and #Ronaldo😉 ""No O'Connell = no Cruyff, no Iniesta, no Messi"" The Irishman who saved Barça from Franco. @Paulmcgrath5 @alexclapham @NutmegMagazine @TomHock1 @OliverKayTimes @Groundtastic @RorySmith https://t.co/Hp9zEv9WrB",DonPatricioFILM,"[u'Messi', u'Ronaldo']",992,
12/3/2019 11:56,"It seems that #ronaldo needs his sister to defend him, from a joke made by another great football player. Now isn't that the cutest thing ever,  poor little man. @piersmorgan is just being the usual idiot, nothing new there. No worries @VirgilvDijk next 1  https://t.co/rTTsKH3wLS",ReggieCuriel,[u'ronaldo'],393,
12/3/2019 11:56,#WordPress #shopifystore #woocommerce  product selling website builder is here. Let's discuss this. https://t.co/RM4P9tYYMt #WordPress   #elementor #divi #developers #ASCILITE2019 #EATJINCAFESG  #ARSD #Ronaldo #IDPWD #SpotifyWrapped  #DoritosDew https://t.co/q4qMdNFGNU https://t.co/dHrEdkeYb3,ictsamidul,"[u'WordPress', u'shopifystore', u'woocommerce', u'WordPress', u'elementor', u'divi', u'developers', u'ASCILITE2019', u'EATJINCAFESG', u'ARSD', u'Ronaldo', u'IDPWD', u'SpotifyWrapped', u'DoritosDew']",57,
12/3/2019 11:55,@afnkhr #ronaldo shit...,marzaynmalik,[u'ronaldo'],76,
12/3/2019 11:53,If I speak I'm in trouble! #Ronaldo https://t.co/NnUzXRhlm5,BruceHendrxx,[u'Ronaldo'],4155,4391
