,timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count,,
2,12/3/2019 12:11,Cristiano #Ronaldo's sister in furious rant at Virgil Van Dijk and Liverpool after Ballon d'Or comments - Liverpool Echo #LFC 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #Premier_League  https://t.co/8h22ta5PoD,footy90com,"[u'Ronaldo', u'LFC', u'Premier_League']",56458,57382,,neg
7,12/3/2019 12:01,Türkiye’nin #BallonDor ’daki tercihleri;  1️⃣ #VanDijk 2️⃣ #Ronaldo 3️⃣ #Mbappe 4️⃣ #Salah 5️⃣ #Messi https://t.co/V76vtaASoI,DeportesReports,"[u'BallonDor', u'VanDijk', u'Ronaldo', u'Mbappe', u'Salah', u'Messi']",23717,26471,,pos
8,12/3/2019 12:00,‘Ronaldo wants Ballon d’Or at Juventus &amp; will stay’ – Paratici plays down exit talk around Portuguese #CR7 #Ronaldo https://t.co/DAPfeffOQu,Burtytweets,"[u'CR7', u'Ronaldo']",2291,3111,,neg
14,12/3/2019 11:53,If I speak I'm in trouble! #Ronaldo https://t.co/NnUzXRhlm5,BruceHendrxx,[u'Ronaldo'],4155,4391,,neg
17,12/3/2019 11:52,Aww! Muslim UNIABUJA SUG President Proposes To Christian Girlfriend On Signing Out (Photo) https://t.co/zX9zuUi0ol  #TachaThanksUtvGhana #Messi #Ronaldo #BallonDor2019 #BallonDor #EverythingTacha #leomessi #TwitterMomentOfTheDecade,Dammysnew,"[u'TachaThanksUtvGhana', u'Messi', u'Ronaldo', u'BallonDor2019', u'BallonDor', u'EverythingTacha', u'leomessi', u'TwitterMomentOfTheDecade']",3848,3910,,pos
18,12/3/2019 11:52,Türkiye’nin #BallonDor’daki tercihleri;  1️⃣ #VanDijk 2️⃣ #Ronaldo 3️⃣ #Mbappe 4️⃣ #Salah 5️⃣ #Messi https://t.co/ZDDwE8vxTl,yenisafakspor,"[u'BallonDor', u'VanDijk', u'Ronaldo', u'Mbappe', u'Salah', u'Messi']",8816,7671,,pos
19,12/3/2019 11:51,Graphic: Police officer allegedly shoots truck driver dead for refusing to hand him N100 bribe in Ondo https://t.co/g1sPUlyKf6  #TachaThanksUtvGhana #Messi #Ronaldo #BallonDor2019 #BallonDor #EverythingTacha #leomessi #TwitterMomentOfTheDecade,Dammysnew,"[u'TachaThanksUtvGhana', u'Messi', u'Ronaldo', u'BallonDor2019', u'BallonDor', u'EverythingTacha', u'leomessi', u'TwitterMomentOfTheDecade']",3848,4910,,neg
20,12/3/2019 11:50,I call on President Buhari to show support for Anthony Joshua as he puts Nigeria on the world stage against Ruiz – Ben Bruce https://t.co/cKWZEWwxs8  #TachaThanksUtvGhana #Messi #Ronaldo #BallonDor2019 #BallonDor #EverythingTacha #leomessi #TwitterMomentOfTheDecade,Dammysnew,"[u'TachaThanksUtvGhana', u'Messi', u'Ronaldo', u'BallonDor2019', u'BallonDor', u'EverythingTacha', u'leomessi', u'TwitterMomentOfTheDecade']",3848,7891,,pos
24,12/3/2019 11:47,"With due respect, but i think you do  not understand how Ballon D’or works. It is awarded based on votes from international journalists, national team coaches and captains. It does not matter who wins anything. It is strictly based on these votes.  #BallonDor  #Messi  #Ronaldo https://t.co/DvJCL0bLGh",perplexed_ustaz,"[u'BallonDor', u'Messi', u'Ronaldo']",6479,7681,,pos
33,12/3/2019 11:40,Get familiar with the brand and put some respect on it!!! @bigiano coming in hot  #bobrisky #ronaldo #instablog9ja #ballondor https://t.co/b6purSFl8Z,iseeamg29,"[u'bobrisky', u'ronaldo', u'instablog9ja', u'ballondor']",1865,1890,,pos
