,timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count,,
2,12/3/2019 12:01,Türkiye’nin #BallonDor ’daki tercihleri;  1️⃣ #VanDijk 2️⃣ #Ronaldo 3️⃣ #Mbappe 4️⃣ #Salah 5️⃣ #Messi https://t.co/V76vtaASoI,DeportesReports,"[u'BallonDor', u'VanDijk', u'Ronaldo', u'Mbappe', u'Salah', u'Messi']",23717,31617,,pos
4,12/3/2019 11:52,Türkiye’nin #BallonDor’daki tercihleri;  1️⃣ #VanDijk 2️⃣ #Ronaldo 3️⃣ #Mbappe 4️⃣ #Salah 5️⃣ #Messi https://t.co/ZDDwE8vxTl,yenisafakspor,"[u'BallonDor', u'VanDijk', u'Ronaldo', u'Mbappe', u'Salah', u'Messi']",4761,5671,,pos
5,12/3/2019 11:47,"""It's his sixth Ballon d'Or. It's Messi."" ENOUGH SAID! 💪⚽  Here's how @LFC ace @VirgilvDijk reacted to Lionel Messi winning the #BallondOr2019! 🏆🔥💯  #BallondOr #Messi #vanDijk https://t.co/TafOu3BMRE",FOXSportsAsia,"[u'BallondOr2019', u'BallondOr', u'Messi', u'vanDijk']",7611,8173,,pos
10,12/3/2019 11:22,"Now that the #BallondOr2019 results are out, let's see who the various ASEAN countries have voted for! 💪⚽💯  Take a look. 🏆  #BallondOr #Messi #CR7 #vanDijk #Mane #Salah https://t.co/KF0pMJoMau",FrankBuzz1,"[u'messi', u'balondor', u'salah', u'vandijk', u'joke']",29738,39103,,neg
16,12/3/2019 10:35,FC Barcelona legend #LionelMessi wins record sixth Ballon d'Or as Luka Modric does not make even 30 man list. https://t.co/Zx0NEf1z04 #BallonDor #BalondeOro #Paris #FCBarcelona #Modric #VirgilVanDijk #Messi #MESSIX #VanDijk #Mane #Liverpool #Mbappe #Rapinoe,SewuBem,"[u'LionelMessi', u'BallonDor', u'BalondeOro', u'Paris', u'FCBarcelona', u'Modric', u'VirgilVanDijk', u'Messi', u'MESSIX', u'VanDijk', u'Mane', u'Liverpool', u'Mbappe', u'Rapinoe']",6696,7992,,neg
24,12/3/2019 10:17,"@goal If Modric could have won it, so could have #VanDijk but he was massive for both Club and country.",iburniton96,[u'VanDijk'],1625,1798,,pos
27,12/3/2019 10:05,I can't wait for Liverpool vs Juventus or Netherlands vs 🇵🇹 Portugal. #Ronaldo will Fuck #VanDijk  once again😂😂😂😂 mark this tweet,Arthurockgh,"[u'Ronaldo', u'VanDijk']",1944,2109,,pos
28,12/3/2019 10:05,"👉 No Messi and @Cristiano! 👉 Aubameyang, Griezmann over Messi, Ronaldo! 👉 Tadic, Son Heung-min over Mane, Mbappe!  Some of the #BallondOr2019 votes were BIZARRE, to say the least! 😱😂⚽  #BallondOr #Messi #CR7 #vanDijk #Salah #Mane https://t.co/iWI4QD9snL",FOXSportsAsia,"[u'BallondOr2019', u'BallondOr', u'Messi', u'CR7', u'vanDijk', u'Salah', u'Mane']",7872,6577,,neg
35,12/3/2019 9:20,"And then he lost 🤣🤣🤣 #VanDijk, @Cristiano isn't in ur league ....let's just be honest...don't hate get inspired https://t.co/roaMvhOIfp",Sameerbry,[u'VanDijk'],4129,4209,,pos
41,12/3/2019 9:09,The #BallondOr2019 voting results are out! 💪⚽💯  Let us take a look at who India voted for! 🏆✨  #BallondOr #Messi #CR7 #vanDijk #Mane #Salah https://t.co/7EBYQJ8LPc,FOXSportsAsia,"[u'BallondOr2019', u'BallondOr', u'Messi', u'CR7', u'vanDijk', u'Mane', u'Salah']",7677,9876,,pos
42,12/3/2019 9:06,"Classy words from Virgil van Dijk on Lionel Messi:👏  ""We need to respect greatness. I was close but there was just someone a little bit better.""  #BallonDor #BallonDor2019 #Messi #VanDijk #LFC #Barca https://t.co/yBI4z91GvO",bwin,"[u'BallonDor', u'BallonDor2019', u'Messi', u'VanDijk', u'LFC', u'Barca']",7688,7688,,pos
51,12/3/2019 8:46,#VanDijk’s second place finish in the #BalonDor is the best by a defender since Fabio #Cannavaro won it in 2006.,barafundler,"[u'VanDijk', u'BalonDor', u'Cannavaro']",5505,7881,,pos
52,12/3/2019 8:40,"Now that the #BallondOr2019 results are out, let's see who the various ASEAN countries have voted for! 💪⚽💯  Take a look. 🏆  #BallondOr #Messi #CR7 #vanDijk #Mane #Salah https://t.co/KF0pMJoMau",FOXSportsAsia,"[u'BallondOr2019', u'BallondOr', u'Messi', u'CR7', u'vanDijk', u'Mane', u'Salah']",6761,8798,,pos
53,12/3/2019 8:38,ICYMI: ⚽️🏆 The 2019 Ballon d’Or went to #LionelMessi for the sixth time last night. What is your take on this? Do you think it was well deserved?  #ScooperNigeria #Messi #Ronaldo #Ballon #GOAT  #Drogba #Vandijk #Cristiano #TuesdayThoughts  Read All Trending News on Scooper https://t.co/WLF3IDFSOe,scoopernigeria,"[u'LionelMessi', u'ScooperNigeria', u'Messi', u'Ronaldo', u'Ballon', u'GOAT', u'Drogba', u'Vandijk', u'Cristiano', u'TuesdayThoughts']",1747,1524,,neg
55,12/3/2019 8:31,"Seriously some Barca / Messi fans are so deluded, ( and I am a Messi fan) , we beat them pants down,  they keep winning a 2horse league,  bottled the trophies still harp on an on . #VANDIJK IS currently THE best defender yet agendas overshadow everything #BallonDor https://t.co/sxSptKlTue",MeraliAyaz,"[u'VANDIJK', u'BallonDor']",4396,5617,,pos
56,12/3/2019 8:30,Lionel Messi has yet again has cemented his name in the history of football after becoming the first player to win Ballon d'Or for the sixth time. #Messi #VanDijk #BallonDor   https://t.co/ML4VhurSWR,7Dnews,"[u'Messi', u'VanDijk', u'BallonDor']",15464,14390,,pos
59,12/3/2019 8:22,REVEALED! 😮😮  The details of which country voted for which player for #BallonDor2019 🏆 has been released.  Full list here.  #BallonDor #Messi #Ronaldo #VanDijk #Salah #Mane   https://t.co/X0XVCNJRYw,FOXSportsAsia,"[u'BallonDor2019', u'BallonDor', u'Messi', u'Ronaldo', u'VanDijk', u'Salah', u'Mane']",7416,8716,,pos
62,12/3/2019 8:08,Click and get the song 'without you' https://t.co/upcU2tLZ7J #BallonDor #BalondeOro #GOAT #Panorama #BLACKCOFFEE #Opay #ipone6 #fool #Ronaldo #Piers #Drogba #Virgil #MESSIX #Messi #daura #sneijder #FCBarcelona #keyamo #3rdDecember #VanDijk #ROSE #ARMYSelcaDay #Skol #Perez https://t.co/em1PUMfWDd,yakubumohammed_,"[u'BallonDor', u'BalondeOro', u'GOAT', u'Panorama', u'BLACKCOFFEE', u'Opay', u'ipone6', u'fool', u'Ronaldo', u'Piers', u'Drogba', u'Virgil', u'MESSIX', u'Messi', u'daura', u'sneijder', u'FCBarcelona', u'keyamo', u'3rdDecember', u'VanDijk', u'ROSE', u'ARMYSelcaDay', u'Skol', u'Perez']",6471,8761,,pos
68,12/3/2019 7:48,There's a a little truth in just kidding.  #VanDijk #Piers,loshantii,"[u'VanDijk', u'Piers']",2609,7163,,pos
71,12/3/2019 7:42,Monitor Everything happening at home while you are away at real time on all your devices with the best CCTV HD cameras  #iPhone6 #Messi #VanDijk https://t.co/fYMUHrKf33,hesikay,"[u'iPhone6', u'Messi', u'VanDijk']",2851,1837,,pos
73,12/3/2019 7:23,Do you think Lionel Messi deserved to win the ballon d’or award 2019 ahead of Van dijk?   Retweet for Messi &amp; Like for Van dijk.  #BallonDor2019 #BallonDor #Messi #VanDijk #TuesdayThoughts #TuesdayMotivation #Shiloh2019 https://t.co/ijoax6fVGI,RyteGate,"[u'BallonDor2019', u'BallonDor', u'Messi', u'VanDijk', u'TuesdayThoughts', u'TuesdayMotivation', u'Shiloh2019']",1892,2516,,neg
78,12/3/2019 7:07,It’s not #Messi and #Ronaldo again ? Hehehe you’ll attacking #Virgil cause of what he said not minding your goat did worst than him 🤷‍♂️ free #VanDijk and face us #Messi6 #MESSIX #MessiBallonDor2019 it’s #Messi and #Ronaldo not #VanDijk 🤣,ahmardhii,"[u'Messi', u'Ronaldo', u'Virgil', u'VanDijk', u'Messi6', u'MESSIX', u'MessiBallonDor2019', u'Messi', u'Ronaldo', u'VanDijk']",1569,2716,,neg
80,12/3/2019 7:02,Ronaldo’s sister cries after Messi won Ballon D’or   https://t.co/EnJ4w13z0Z  @raskytwitty @communeamos @OlaFresh98 @IbkSports @TomiwaBabalola @iamunclerahiiim @BayoPsalm   #Balondor2019 #BallonDor #leomessi #VanDijk #Ronaldo,dammydudu,"[u'Balondor2019', u'BallonDor', u'leomessi', u'VanDijk', u'Ronaldo']",2999,4930,,neg
82,12/3/2019 6:59,Savage AF 🔥😂 #Ronaldo #VanDijk https://t.co/RuV2xH9oZg,FootTheBall,"[u'Ronaldo', u'VanDijk']",41417,43718,,neg
83,12/3/2019 6:56,Messix ⚽️🖐🏻➕1️⃣🏆 📸: #picoftheday #gettyimages • • • #messi #leomessi #lionelmessi #messix #fcbarcelona #fcb #ballondor #cristianoronaldo #ronaldo #vandijk #mbappe #griezmann #modric #azulgrana #campnou #noucamp… https://t.co/6SALBKqlJK,Jhansd,"[u'picoftheday', u'gettyimages', u'messi', u'leomessi', u'lionelmessi', u'messix', u'fcbarcelona', u'fcb', u'ballondor', u'cristianoronaldo', u'ronaldo', u'vandijk', u'mbappe', u'griezmann', u'modric', u'azulgrana', u'campnou', u'noucamp']",6189,7891,,pos
86,12/3/2019 6:50,So Ronaldo used his sister’s account to diss Van Dijk 😂😂😂 Van Dijk definitely got under his skin. 😂   Read between the lines my people as I expose our beloved Ronaldo.  This is Ronaldo typing guys!!! @LFC @Kloppholic  #BalondeOro #BallonDor #MESSIX #Messi #VanDijk #Liverpool https://t.co/yap3WJR0Lb,Uncle_Dimeji,"[u'BalondeOro', u'BallonDor', u'MESSIX', u'Messi', u'VanDijk', u'Liverpool']",2377,2718,,neg
87,12/3/2019 6:49,Piers Morgan shut down by Van Dijk after celebrity's knee-jerk reaction to Ronaldo's Ballon d'Or no-show joke  #PiersMorgan #VanDijk #football #BallonDor #BallonDor2019 https://t.co/qBK64bRkD9,WhaleBets_com,"[u'PiersMorgan', u'VanDijk', u'football', u'BallonDor', u'BallonDor2019']",3435,3617,,neg
91,12/3/2019 6:37,4 Reds players finished in the top 10 ranking for this year's award. #FMTNews #VanDijk  https://t.co/NEXFMnGc5O,fmtoday,"[u'FMTNews', u'VanDijk']",7381,8171,,pos
92,12/3/2019 6:22,""" He's fantastic. His last three seasons have been amazing ""  #Shevchenko praises #VanDijk's performance https://t.co/7REECLOZqC",stadiumastro,"[u'Shevchenko', u'VanDijk']",25301,26171,,pos
