,timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count
0,12/2/2019 12:32,"Lionel Messi For Ballon d’Or Award 2019, will he win his sixth Golden Ball  #LionelMessi #BallonDor2019 #BallondOr https://t.co/unQx2grbfR",thefirstindia,"[u'LionelMessi', u'BallonDor2019', u'BallondOr']",2233,3000.0
2,12/2/2019 12:31,Luka Modric - last year's #BallonDor winner  Who will win it this year? #BallonDor2019 🤔 https://t.co/ilf6jXD7HJ,VBETnews,"[u'BallonDor', u'BallonDor2019']",1504,1800.0
4,12/2/2019 12:30,That award has been sh!t for a while now. #BallonDor https://t.co/NSwR9WNylR,Oga_Pato,[u'BallonDor'],1803,2200.0
5,12/2/2019 12:30,If you don't give it to Messi I swear you guys are going down for corruption! #BallonDor #BallonDor2019 https://t.co/mQixJ8b771,ignatius_koech1,"[u'BallonDor', u'BallonDor2019']",1752,4234.0
7,12/2/2019 12:29,@brfootball Where is Mohamed SALAH ?! #ballondor #podium🥉,A__L__I__,"[u'ballondor', u'podium']",2184,4313.0
8,12/2/2019 12:29,Yo #BetwaySquad  Who is taking the prestigious 2019 Ballon Do'r tonight?  #BallonDor2019 #BallonDor,Betway_za,"[u'BetwaySquad', u'BallonDor2019', u'BallonDor']",9607,10495.0
9,12/2/2019 12:28,"#BallondOr  Good luck to @LFC star player @VirgilvDijk for his nomination for the #BallonDor2019.   Thanks to Virgil, and all his #LFC teammates, for helping raise awareness of our life-changing work educating vulnerable children  around the world 🌎  Best of luck tonight! 🤞🏽⚽️🏆 https://t.co/pGowHr89KX",RightToPlay_UK,"[u'BallondOr', u'BallonDor2019', u'LFC']",11812,19583.0
19,12/2/2019 12:23,@Sporf @Cristiano The 2019 Ballon d'Or WINNER will be crowned 🏆 #BallondOr #BalondeOro,Kuruvii,"[u'BallondOr', u'BalondeOro']",459,5231.0
20,12/2/2019 12:23,"👀 ""I think and hope @Cristiano will win it.""  ☹️ ""If that’s not the case I will be sad.""  🏆 Maurizio Sarri is backing his star player to win the #BallonDor. https://t.co/rYaB2gR8tp",Sporf,[u'BallonDor'],1346921,136932.0
21,12/2/2019 12:22,Lionel Messi For Ballon d’Or Award 2019: 3 Reasons Why Barcelona Forward Should Win His Sixth Golden Ball  @TeamMessi #LionelMessi #BallonDor2019 #BallonDor   https://t.co/z7You7qDWW,latestly,"[u'LionelMessi', u'BallonDor2019', u'BallonDor']",47861,48712.0
22,12/2/2019 12:22,The real greatest of all time ...in no time he is gonna get himself back on track   Highlights here: https://t.co/EeCFNmAGND  #BallonDor2019 #AtletiBarca #Ronaldo #MESSI #BallonDor @Cristiano https://t.co/cP94pPRNDX,LyricsMentos,"[u'BallonDor2019', u'AtletiBarca', u'Ronaldo', u'MESSI', u'BallonDor']",10914,11928.0
23,12/2/2019 12:22,"As we all know TROPHIES play vital role in #BallonDor along with goals and assists and #Ronaldo had both of them ,,,,, SO #CristianoRonaldo deserve #BallonDor2019                   And I’m pretty sure that #Messi fans will also agree with me 😩😩😩 https://t.co/jcfcD9dWd3",sana123_2,"[u'BallonDor', u'Ronaldo', u'CristianoRonaldo', u'BallonDor2019', u'Messi']",1426,2312.0
24,12/2/2019 12:21,Cristiano Ronaldo For Ballon d’Or Award 2019: 3 Reasons Why Juventus Forward Should Win His Sixth Golden Ball @Cristiano #CristianoRonaldo #Ronaldo #BallonDor2019 #BallonDor   https://t.co/7wIoBWjoHb,latestly,"[u'CristianoRonaldo', u'Ronaldo', u'BallonDor2019', u'BallonDor']",47861,3324.0
31,12/2/2019 12:17,I woke up this morning with one certainty: Lionel Messi will win his 6th Ballon d'or today @francefootball @TeamMessi #BallonDor2019 #BallonDor @FCBarcelona,marktluszcz,"[u'BallonDor2019', u'BallonDor']",2600,5421.0
32,12/2/2019 12:16,Beautiful read.  #Messi #BallonDor  https://t.co/PcmOVFNCyS,KrParajulee,"[u'Messi', u'BallonDor']",9439,6742.0
34,12/2/2019 12:15,When will Gibbo be announcing the winner of the #BallonDor ?,lozzercozzer,[u'BallonDor'],1547,1987.0
35,12/2/2019 12:15,Legends who NEVER won the #BallonDor   Europe and Italy's Andrea Pirlo  Netherland's Robin van Persie  #ASRoma's Francesco Totti  #Africa's Samuel Eto'o' https://t.co/2lzqk8k9US,oluwashina,"[u'BallonDor', u'ASRoma', u'Africa']",90377,88652.0
36,12/2/2019 12:15,The 2019 #kopatrophy should be ____________ ?   Let's recap the nominees &gt; https://t.co/iZDfmV9Ts3  #ballondor with @FiatFr https://t.co/62ZLtJ1pLo,francefootball,"[u'kopatrophy', u'ballondor']",73811,65423.0
37,12/2/2019 12:14,The handler of this account is a very rude Messi fan😩 #BallonDor #BallonDor2019 https://t.co/prnRrFWYoW,Oga_Pato,"[u'BallonDor', u'BallonDor2019']",1803,1762.0
42,12/2/2019 12:13,Virgil van Dijk Might Just Pip Messi and Ronaldo To Win Ballon d'Or 2019 Trophy #BallonDor #BallonDor2019 @VirgilvDijk #VirgilVanDijk #VanDijk #LionelMessi #CristianoRonaldo @LFC  https://t.co/DggQapplZ0,latestly,"[u'BallonDor', u'BallonDor2019', u'VirgilVanDijk', u'VanDijk', u'LionelMessi', u'CristianoRonaldo']",47861,48912.0
43,12/2/2019 12:13,Keep crying... I feel for you. When messi finally gets his #BallonDor Im sure  you won't be found anywhere apart from wailing. https://t.co/ONaeQrZ1Si,fikky_mii,[u'BallonDor'],3638,12432.0
44,12/2/2019 12:13,Virgil van Dijk Might Just Pip Messi and Ronaldo To Win Ballon d'Or 2019 Trophy and These 10 Quotes About Liverpool Star By Football Legends Are a Proof of It! @VirgilvDijk  @TeamMessi  @Cristiano  #BallonDor2019 #BallonDor   https://t.co/DggQapplZ0,latestly,"[u'BallonDor2019', u'BallonDor']",47861,49817.0
48,12/2/2019 12:10,"ON THIS DAY: In 2008, Cristiano Ronaldo won the first of his five Ballon d'Or awards.  🥇 Cristiano Ronaldo - 446 points  🥈 Lionel Messi - 281 points  🥉 Fernando Torres - 179 points   #AccessBET #BallonDor https://t.co/EMMMuMGSAd",AccessBET,"[u'AccessBET', u'BallonDor']",6349,6542.0
49,12/2/2019 12:10,It's #BallondOr day 🏆  Messi is set to pick up his 6th award  But who deserves to win it?  🥇  https://t.co/Wcaqq1GNbh https://t.co/P5WYp4YZki,MARCAinENGLISH,[u'BallondOr'],174507,291837.0
50,12/2/2019 12:10,It's been a long time since a Real Madrid player hasn't been in the #BallonDor conversations! 😬 https://t.co/FFkkFcPYWL,90min_Football,[u'BallonDor'],164225,185767.0
57,12/2/2019 12:05,The only reason Sadio Mane isn't winning the #BallonDor is that his PR is shit.,DavidIAdeleke,[u'BallonDor'],5828,6524.0
