timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count
12/2/2019 12:32,"Lionel Messi For Ballon d’Or Award 2019, will he win his sixth Golden Ball  #LionelMessi #BallonDor2019 #BallondOr https://t.co/unQx2grbfR",thefirstindia,"[u'LionelMessi', u'BallonDor2019', u'BallondOr']",2233,3000
12/2/2019 12:32,Excited #BallonDor,COUTlNHO7i,[u'BallonDor'],1318,1300
12/2/2019 12:31,Luka Modric - last year's #BallonDor winner  Who will win it this year? #BallonDor2019 🤔 https://t.co/ilf6jXD7HJ,VBETnews,"[u'BallonDor', u'BallonDor2019']",1504,1800
12/2/2019 12:31,All the lights will be in Paris tonight for the #BallonDor2019! Get to know interesting facts regarding tonight's ceremony: 👉 https://t.co/erOw506UFd  #BallonDor #BallonDor2019 #SkyBook365 https://t.co/uzhv7DESuT,skybook365,"[u'BallonDor2019', u'BallonDor', u'BallonDor2019', u'SkyBook365']",1,8
12/2/2019 12:30,That award has been sh!t for a while now. #BallonDor https://t.co/NSwR9WNylR,Oga_Pato,[u'BallonDor'],1803,2200
12/2/2019 12:30,If you don't give it to Messi I swear you guys are going down for corruption! #BallonDor #BallonDor2019 https://t.co/mQixJ8b771,ignatius_koech1,"[u'BallonDor', u'BallonDor2019']",1752,4234
12/2/2019 12:30,@Nabil_djellit Write #MESSI all over it...it belong to only 1 person the king Messi #BallonDor https://t.co/piveTP20w5,DragonSurgeon_,"[u'MESSI', u'BallonDor']",61,234
12/2/2019 12:29,@brfootball Where is Mohamed SALAH ?! #ballondor #podium🥉,A__L__I__,"[u'ballondor', u'podium']",2184,4313
12/2/2019 12:29,Yo #BetwaySquad  Who is taking the prestigious 2019 Ballon Do'r tonight?  #BallonDor2019 #BallonDor,Betway_za,"[u'BetwaySquad', u'BallonDor2019', u'BallonDor']",9607,10495
12/2/2019 12:28,"#BallondOr  Good luck to @LFC star player @VirgilvDijk for his nomination for the #BallonDor2019.   Thanks to Virgil, and all his #LFC teammates, for helping raise awareness of our life-changing work educating vulnerable children  around the world 🌎  Best of luck tonight! 🤞🏽⚽️🏆 https://t.co/pGowHr89KX",RightToPlay_UK,"[u'BallondOr', u'BallonDor2019', u'LFC']",11812,19583
12/2/2019 12:28,No other than the GOAT AKA Messi #ballondor https://t.co/La8ENyVfJg,Sherifeletr10,[u'ballondor'],249,345
12/2/2019 12:26,Does anyone really care who wins the B'londor 🤷🏽‍♂️ #BallonDor2019 #BallonDor,GKamaraLoyal,"[u'BallonDor2019', u'BallonDor']",67,32
12/2/2019 12:26,#BallonDor Ballon d'or todayyyy #DivockOrigi,HockeyXT,"[u'BallonDor', u'DivockOrigi']",13,83
12/2/2019 12:26,The ballondor sucks worse than Katie price.  #MondayMorning #BallonDor2019 #BallonDor #football #soccer #mondaythoughts #sport #piersmorgan @EASPORTSFIFA https://t.co/uli370eh8V,Atouchofklarse1,"[u'MondayMorning', u'BallonDor2019', u'BallonDor', u'football', u'soccer', u'mondaythoughts', u'sport', u'piersmorgan']",331,343
12/2/2019 12:26,"Messi has hit the GPA threshold already, he’ll undisputedly graduate top of his generation and generations to come. Give him his #6th #ballondor already. https://t.co/PoqcbjkMTq",natureslion,"[u'6th', u'ballondor']",87,22
12/2/2019 12:25,All he needs to do now is carry Leicester to win the PL title again and he will deservedly win that 🤣  #BallonDor #JV9 #EVELEI https://t.co/1qf8YFgyjk,ViandraMonisyaf,"[u'BallonDor', u'JV9', u'EVELEI']",227,421
12/2/2019 12:24,@Sporf @Cristiano Will #Ronaldo win the #BallonDor tonight? Vote and Comment below 👇#Juventus #Football #SerieA #CR7 #Portugal #BallonDor2019 #PitchSideTalk,talk_pitch,"[u'Ronaldo', u'BallonDor', u'Juventus', u'Football', u'SerieA', u'CR7', u'Portugal', u'BallonDor2019', u'PitchSideTalk']",53,231
12/2/2019 12:24,"Mthandi, who hails from Orlando East has a remarkable story, with references to the tournament. #WomenInSports @FIFAWWC @CAF_AWCON #BallonDor #BallonDor2019 https://t.co/16fnMihO5d",BintiSports,"[u'WomenInSports', u'BallonDor', u'BallonDor2019']",465,431
12/2/2019 12:24,The best football player that has ever touched the ball.Lionel Andrés Messi Cuccittini. #BallonDor #LionelMessi #M6ssi https://t.co/z2lpkKsZV6,mnsgr_,"[u'BallonDor', u'LionelMessi', u'M6ssi']",388,532
12/2/2019 12:23,@Sporf @Cristiano The 2019 Ballon d'Or WINNER will be crowned 🏆 #BallondOr #BalondeOro,Kuruvii,"[u'BallondOr', u'BalondeOro']",459,5231
12/2/2019 12:23,"👀 ""I think and hope @Cristiano will win it.""  ☹️ ""If that’s not the case I will be sad.""  🏆 Maurizio Sarri is backing his star player to win the #BallonDor. https://t.co/rYaB2gR8tp",Sporf,[u'BallonDor'],1346921,136932
12/2/2019 12:22,Lionel Messi For Ballon d’Or Award 2019: 3 Reasons Why Barcelona Forward Should Win His Sixth Golden Ball  @TeamMessi #LionelMessi #BallonDor2019 #BallonDor   https://t.co/z7You7qDWW,latestly,"[u'LionelMessi', u'BallonDor2019', u'BallonDor']",47861,48712
12/2/2019 12:22,The real greatest of all time ...in no time he is gonna get himself back on track   Highlights here: https://t.co/EeCFNmAGND  #BallonDor2019 #AtletiBarca #Ronaldo #MESSI #BallonDor @Cristiano https://t.co/cP94pPRNDX,LyricsMentos,"[u'BallonDor2019', u'AtletiBarca', u'Ronaldo', u'MESSI', u'BallonDor']",10914,11928
12/2/2019 12:22,"As we all know TROPHIES play vital role in #BallonDor along with goals and assists and #Ronaldo had both of them ,,,,, SO #CristianoRonaldo deserve #BallonDor2019                   And I’m pretty sure that #Messi fans will also agree with me 😩😩😩 https://t.co/jcfcD9dWd3",sana123_2,"[u'BallonDor', u'Ronaldo', u'CristianoRonaldo', u'BallonDor2019', u'Messi']",1426,2312
12/2/2019 12:21,Cristiano Ronaldo For Ballon d’Or Award 2019: 3 Reasons Why Juventus Forward Should Win His Sixth Golden Ball @Cristiano #CristianoRonaldo #Ronaldo #BallonDor2019 #BallonDor   https://t.co/7wIoBWjoHb,latestly,"[u'CristianoRonaldo', u'Ronaldo', u'BallonDor2019', u'BallonDor']",47861,3324
12/2/2019 12:21,@goal The 2019 Ballon d'Or WINNER will be crowned 🏆 #BallondOr #BalondeOro,Kuruvii,"[u'BallondOr', u'BalondeOro']",459,
12/2/2019 12:20,Soon!  6th #BallonDor Loading for #MESSI #BallonDor2019 https://t.co/12iGUuoBlz,im_abhatti,"[u'BallonDor', u'MESSI', u'BallonDor2019']",74,
