timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count
12/2/2019 12:33,Ballon D’or #Messi,Sirdheeq,[u'Messi'],1041,
12/2/2019 12:33,Click and get the song 'Without You' https://t.co/nZal1RBFgj #DavidoDidntCum #scholes #BallonDor2019 #CardiB #akinalabi #UnbotheredMercy #MrPresident #Ronaldo #Nigerians #osas #MESSI #SocialMediaBill #universityoftransportation #JamesBond #mtnbundlesdontexpire #Davido https://t.co/dNvYR0Tc9W,yakubumohammed_,"[u'DavidoDidntCum', u'scholes', u'BallonDor2019', u'CardiB', u'akinalabi', u'UnbotheredMercy', u'MrPresident', u'Ronaldo', u'Nigerians', u'osas', u'MESSI', u'SocialMediaBill', u'universityoftransportation', u'JamesBond', u'mtnbundlesdontexpire', u'Davido']",67332,68383
12/2/2019 12:33,"Yall Messi fc. This is a pic i took in anticipation of this day.  It's called 'hook it' or 'inject it' and it shall be used for ororo and his brethren sorrows, tears and blood.  #BallonDor2019 #MESSI https://t.co/ol672IlFyS",soalagee,"[u'BallonDor2019', u'MESSI']",304,
12/2/2019 12:32,@CandRGroup The Goat is gonna pick his 6th BallonDor #MESSI,Churchi6123965,[u'MESSI'],1123,
12/2/2019 12:31,New Wallpaper... #MESSI #BallonDor2019 https://t.co/lpjfTzqDxr,ennyade66,"[u'MESSI', u'BallonDor2019']",1137,
12/2/2019 12:31,"When #Messi has sex with bitches, he fucks them fair.  #Barcelona #RealMadrid #AtleticoMadrid https://t.co/1kPUPWwz1z",mistakes30,"[u'Messi', u'Barcelona', u'RealMadrid', u'AtleticoMadrid']",79,
12/2/2019 12:30,At one hand I know Messi winning this Ballon Dor will take him to 6th and I don't think  CR7 with his increasing age  will ever be in line for this award again  BUT   that's fine and #MESSI deserves to win it more than anyone else  #MessiBallonDor2019 #BallonDor2019  #madridista,vinnieMacJr,"[u'MESSI', u'MessiBallonDor2019', u'BallonDor2019', u'madridista']",216,
12/2/2019 12:30,@Nabil_djellit Write #MESSI all over it...it belong to only 1 person the king Messi #BallonDor https://t.co/piveTP20w5,DragonSurgeon_,"[u'MESSI', u'BallonDor']",61,
12/2/2019 12:30,TRUTH is... It’s illegal to use a legal name. Read/Share #BCCRSS because I.D.’s ILLEGAL:  https://t.co/X5ZGEPOzXq  #crss #firebergevin #LACvsDEN #PunBNK48 #FLZJingleBall #Broncos #TwitterMomentsOfTheDecade #GodSavetheQueen #MESSI #12DaysOfChristmas #AYODHYAVERDICT #100DaysNoVikas https://t.co/trOrpBUuBP,LnfNow,"[u'BCCRSS', u'crss', u'firebergevin', u'LACvsDEN', u'PunBNK48', u'FLZJingleBall', u'Broncos', u'TwitterMomentsOfTheDecade', u'GodSavetheQueen', u'MESSI', u'12DaysOfChristmas', u'AYODHYAVERDICT', u'100DaysNoVikas']",41,
12/2/2019 12:29,@Adesolami2 They are just one of a kind #Wizkid and #messi,BrOkeMan10,"[u'Wizkid', u'messi']",128,
12/2/2019 12:29,Come on Messi FC lets follow everyone and crash the twitter after tonights announcement Follow me and i will follow back immediately. Let’s start now !!!!!!! 🔵🔴😊 #MESSI #M6SSI #BallonDor2019,sagarssshinde,"[u'MESSI', u'M6SSI', u'BallonDor2019']",345,
12/2/2019 12:29,"Instead of his sixth tonight, how many more will he achieve??  #messi #BallonDor2019 https://t.co/rKblamNFg6",analysis_barca,"[u'messi', u'BallonDor2019']",0,
12/2/2019 12:29,#messi deserves to be#BallonDor2019 and he will get the sixth one,alsopei,[u'messi'],913,
12/2/2019 12:28,Today is the day then when Leo #Messi lifts his 6 #BallonDor2019,hadiabdullah3,"[u'Messi', u'BallonDor2019']",839,
12/2/2019 12:28,Who you got to win the Ballon dor 2019? #Messi #VirgilVanDijk #CristianoRonaldo #BallonDor2019  Retweet for Messi Like for Ronaldo  Comment for VVD https://t.co/53TbL9VuiS,SportsRUs19,"[u'Messi', u'VirgilVanDijk', u'CristianoRonaldo', u'BallonDor2019']",257,
12/2/2019 12:26,@ChampionsLeague @francefootball THE GOAT LEO #MESSI #MessiBallonDor2019 🐐🐐🐐🐐👑👑👑👑 https://t.co/2CWr6x7cgP,barzaboysatadru,"[u'MESSI', u'MessiBallonDor2019']",664,
12/2/2019 12:26,#BallonDor2019 🎶 let’s talk about SIX baby 🎶 #MESSIX #MessiBallonDor2019 #messi https://t.co/gd2gu3EqfE,JocelynAshante,"[u'BallonDor2019', u'MESSIX', u'MessiBallonDor2019', u'messi']",395,
12/2/2019 12:26,#BallonDor2019  Messi has been better than any another player for the last season  And Van Dijk or anyone else winning Ballon Dor would be an injustice to him  and to football    - Sincere Real Madrid and Cristiano Ronaldo fan   #LionelMessi #MESSI #MessiBallonDor2019,vinnieMacJr,"[u'BallonDor2019', u'LionelMessi', u'MESSI', u'MessiBallonDor2019']",216,
12/2/2019 12:24,The reality is that everyone loves Football. And everyone wants their fav player to win but the truth is that this guy is gonna win it and no one can do anything about it.😆😆😆 #BallonDor2019 #MESSI https://t.co/ggh7JV0dkF,SekharHimansh,"[u'BallonDor2019', u'MESSI']",6,
12/2/2019 12:24,#MESSI delivered a major boost to @FCBarcelona 's #LaLiga title hopes by scoring a late winner in a 1-0 victory at #AtleticoMadrid .  #LaLiga #BarcaAtleti https://t.co/iOlMJg0pQJ,SportsMania_Fan,"[u'MESSI', u'LaLiga', u'AtleticoMadrid', u'LaLiga', u'BarcaAtleti']",77,
12/2/2019 12:23,@sport this year for #Messi  ..finally there is fair in this life ..cr7 deserve it in 2018 but ..!  anyway i wish to him all the best ..great player all the respect for Cr7 🙏🏻 https://t.co/ZBxrXJy7n8,sofya_leb,[u'Messi'],4630,4526
12/2/2019 12:23,@TarekTikiTaka69 @genefave @henni_mo @Benzema 10 buts et #MESSI 9 buts😁 https://t.co/cHBxO4h3kh,foot_aime,[u'MESSI'],4016,3958
12/2/2019 12:22,The real greatest of all time ...in no time he is gonna get himself back on track   Highlights here: https://t.co/EeCFNmAGND  #BallonDor2019 #AtletiBarca #Ronaldo #MESSI #BallonDor @Cristiano https://t.co/cP94pPRNDX,LyricsMentos,"[u'BallonDor2019', u'AtletiBarca', u'Ronaldo', u'MESSI', u'BallonDor']",10914,11039
12/2/2019 12:22,"Messi 🐐 is the best player on the planet!  It is not until he retires, that we really will understand how good he was!  He makes things that are complicated so easy to do!  #Messi is indeed the #GOAT https://t.co/dO3D0AMeAW",LM_TheBestEver,"[u'Messi', u'GOAT']",61,
12/2/2019 12:22,"As we all know TROPHIES play vital role in #BallonDor along with goals and assists and #Ronaldo had both of them ,,,,, SO #CristianoRonaldo deserve #BallonDor2019                   And I’m pretty sure that #Messi fans will also agree with me 😩😩😩 https://t.co/jcfcD9dWd3",sana123_2,"[u'BallonDor', u'Ronaldo', u'CristianoRonaldo', u'BallonDor2019', u'Messi']",1426,
12/2/2019 12:22,#MyMentalHealthIn3Words #Arhaanisback #ManishPandey #BringBaggaBack #bullettrain #ReleaseChidambaram #RelianceJio #MESSI #UAENationalDay https://t.co/yQoIBnkfOa Girlfriend ho tu aisi,firozshah07,"[u'MyMentalHealthIn3Words', u'Arhaanisback', u'ManishPandey', u'BringBaggaBack', u'bullettrain', u'ReleaseChidambaram', u'RelianceJio', u'MESSI', u'UAENationalDay']",2283,2889
12/2/2019 12:22,Gonna tell my kids this was Lionel Messi. Because no one can be him #Messi #BallonDor2019 #BallonDor2019 https://t.co/TblXy5N6yA,Anshjai08003018,"[u'Messi', u'BallonDor2019', u'BallonDor2019']",1,
12/2/2019 12:22,Barcelona's fate depends on this two individuals. Messi deserves the 2019 title.. The guy changes the whole game once the ball is on his feet.   #BallonDor2019  #MESSI  #KOTLoyalsOnly https://t.co/1zmZLvAGAW,dankamaah,"[u'BallonDor2019', u'MESSI', u'KOTLoyalsOnly']",4219,4829
