,timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count,,
1,12/2/2019 12:33,Click and get the song 'Without You' https://t.co/nZal1RBFgj #DavidoDidntCum #scholes #BallonDor2019 #CardiB #akinalabi #UnbotheredMercy #MrPresident #Ronaldo #Nigerians #osas #MESSI #SocialMediaBill #universityoftransportation #JamesBond #mtnbundlesdontexpire #Davido https://t.co/dNvYR0Tc9W,yakubumohammed_,"[u'DavidoDidntCum', u'scholes', u'BallonDor2019', u'CardiB', u'akinalabi', u'UnbotheredMercy', u'MrPresident', u'Ronaldo', u'Nigerians', u'osas', u'MESSI', u'SocialMediaBill', u'universityoftransportation', u'JamesBond', u'mtnbundlesdontexpire', u'Davido']",67332,68383,,pos
20,12/2/2019 12:23,@sport this year for #Messi  ..finally there is fair in this life ..cr7 deserve it in 2018 but ..!  anyway i wish to him all the best ..great player all the respect for Cr7 🙏🏻 https://t.co/ZBxrXJy7n8,sofya_leb,[u'Messi'],4630,4526,,pos
21,12/2/2019 12:23,@TarekTikiTaka69 @genefave @henni_mo @Benzema 10 buts et #MESSI 9 buts😁 https://t.co/cHBxO4h3kh,foot_aime,[u'MESSI'],4016,3958,,neg
22,12/2/2019 12:22,The real greatest of all time ...in no time he is gonna get himself back on track   Highlights here: https://t.co/EeCFNmAGND  #BallonDor2019 #AtletiBarca #Ronaldo #MESSI #BallonDor @Cristiano https://t.co/cP94pPRNDX,LyricsMentos,"[u'BallonDor2019', u'AtletiBarca', u'Ronaldo', u'MESSI', u'BallonDor']",10914,11039,,pos
25,12/2/2019 12:22,#MyMentalHealthIn3Words #Arhaanisback #ManishPandey #BringBaggaBack #bullettrain #ReleaseChidambaram #RelianceJio #MESSI #UAENationalDay https://t.co/yQoIBnkfOa Girlfriend ho tu aisi,firozshah07,"[u'MyMentalHealthIn3Words', u'Arhaanisback', u'ManishPandey', u'BringBaggaBack', u'bullettrain', u'ReleaseChidambaram', u'RelianceJio', u'MESSI', u'UAENationalDay']",2283,2889,,pos
27,12/2/2019 12:22,Barcelona's fate depends on this two individuals. Messi deserves the 2019 title.. The guy changes the whole game once the ball is on his feet.   #BallonDor2019  #MESSI  #KOTLoyalsOnly https://t.co/1zmZLvAGAW,dankamaah,"[u'BallonDor2019', u'MESSI', u'KOTLoyalsOnly']",4219,4829,,neg
30,12/2/2019 12:21,Messi fans would not be very happy with your question because  #letsdiskuss #football #Messi #messy  https://t.co/0OeTCZZbxu,Letsdiskuss,"[u'letsdiskuss', u'football', u'Messi', u'messy']",2033,2948,,neg
33,12/2/2019 12:20,Tweeter go shut down if messi wins the balon  d or ahead of Ronaldo and van dijk #MESSI #BallonDor2019,official_ade1,"[u'MESSI', u'BallonDor2019']",3082,3191,,neg
37,12/2/2019 12:16,Beautiful read.  #Messi #BallonDor  https://t.co/PcmOVFNCyS,KrParajulee,"[u'Messi', u'BallonDor']",9439,10938,,pos
42,12/2/2019 12:12,Its lunch time... Will you like to have a taste of this amazing mozzarella recipe? . . . #EchoesOfCalabar #Echoes #Calabar #Nigeria #Messi #BallonDor2019 #Ronaldo #MrPresident #WarriTwitterHangout #OwerriNkwobiTickets #SocialMediaBill https://t.co/gN07dJwOq0,echoesofcalabar,"[u'EchoesOfCalabar', u'Echoes', u'Calabar', u'Nigeria', u'Messi', u'BallonDor2019', u'Ronaldo', u'MrPresident', u'WarriTwitterHangout', u'OwerriNkwobiTickets', u'SocialMediaBill']",4766,7482,,pos
44,12/2/2019 12:10,Is this true though? #BallonDor2019 #Messi #VanDijk https://t.co/DLB1grSxth,Tkaynoel,"[u'BallonDor2019', u'Messi', u'VanDijk']",2218,2940,,pos
46,12/2/2019 12:09,@STermined #Messi  I love #Ronaldo too but #Messi is definitely the G.O.A.T. today  #Soccer  #Football  #BallonDor2019 https://t.co/BN2kzuoIlP,Phidd,"[u'Messi', u'Ronaldo', u'Messi', u'Soccer', u'Football', u'BallonDor2019']",1912,8492,,neg
50,12/2/2019 12:08,I think #Messi is going to be crowned #TheBest FIFA Men's Player. Who do you think will win? https://t.co/vMWAnpMtdj,SBeb21,"[u'Messi', u'TheBest']",1509,7892,,pos
66,12/2/2019 11:59,The Ballon d'Or 2019 winner will be announced in Paris later today.  We'll take a look at the top 3 contenders' (2018/19) season  Could it be the 6th for either #Messi or #Ronaldo?  Or the 1st for #VanDijk?  Who deserve the Ballon d'Or 2019?  #BallonDor2019 #GetSporty #BetSporty https://t.co/10vbdF7vB3,sportybetng,"[u'Messi', u'Ronaldo', u'VanDijk', u'BallonDor2019', u'GetSporty', u'BetSporty']",6706,8391,,pos
67,12/2/2019 11:59,#BallonDor2019 #MESSI #MessiBallonDor2019 #BallonDor Picture of the day 📸 https://t.co/ismRvR07r3,Realmusaibrahim,"[u'BallonDor2019', u'MESSI', u'MessiBallonDor2019', u'BallonDor']",2824,1890,,pos
69,12/2/2019 11:58,@FCBarcelona What do you need from the G.O.A.T 🐐 again  King Leo #Messi Messiah of Football @FCBarcelona,nat_ebube,[u'Messi'],1778,2910,,neg
70,12/2/2019 11:57,#BallonDor2019 #MESSI #MessiBallonDor2019 #BallonDor God of the game... The God of the game. https://t.co/uxwZqgMHDR,Realmusaibrahim,"[u'BallonDor2019', u'MESSI', u'MessiBallonDor2019', u'BallonDor']",2824,3029,,pos
71,12/2/2019 11:57,https://t.co/Lz8M56QyKv  Click to watch Nairamarley leaked sex tape  Don't forget to subscribe and share  #DavidoDidntCum #MrPresident #BallonDor2019 #Messi #OurPerfectWedding #Titans,Officialpstick1,"[u'DavidoDidntCum', u'MrPresident', u'BallonDor2019', u'Messi', u'OurPerfectWedding', u'Titans']",2675,2819,,neg
73,12/2/2019 11:56,"🕰️ Flashback! 🕰️  ""Messi is the best player in the world. I think he deserves the Ballon d'Or."" 🏆   Speaking after winning the #UCL in June, Virgil van Dijk backed Lionel Messi to win the #BallonDor   #Messi #VanDijk #Barca #LFC https://t.co/pzEk1a6En3",OmnisportNews,"[u'UCL', u'BallonDor', u'Messi', u'VanDijk', u'Barca', u'LFC']",5448,7292,,pos
74,12/2/2019 11:56,One scored the winner.. Other blocked it.  Choose your GOAT wisely. #MessiBallonDor2019 #MESSI #BallonDor2019 #BalaSahebThackeray #GOAT https://t.co/Mp9Wy7nDxI,Realmusaibrahim,"[u'MessiBallonDor2019', u'MESSI', u'BallonDor2019', u'BalaSahebThackeray', u'GOAT']",2824,2859,,neg
75,12/2/2019 11:53,"So I hopped on the @5AliveNG competition, about creativity.. Here's the link to the post. Please help like it and tag them. It's not a computer work is hand drawn!🙏 https://t.co/2RCQ7JcRWx   #MessiBallonDor2019 #MESSI #Ronaldo #TachaOurOnlyHype #MondayMotivation #UnbotheredMery https://t.co/TR051d0x5f",I_spitINK,"[u'MessiBallonDor2019', u'MESSI', u'Ronaldo', u'TachaOurOnlyHype', u'MondayMotivation', u'UnbotheredMery']",2714,3829,,neg
77,12/2/2019 11:52,"#BallonDor2019: Finalists, live streaming, time in India (IST) &amp; where to watch on TV  #BallonDor #MESSI #Ronaldo #VanDijk   https://t.co/0wB6y3YCNw",dna,"[u'BallonDor2019', u'BallonDor', u'MESSI', u'Ronaldo', u'VanDijk']",748291,76532,,pos
81,12/2/2019 11:51,Diego Simeone has never won a game against Barcelona in his managerial career in La Liga.  #BallonDor2019 #MESSI #AtletiBarca https://t.co/cCOLCou33U,Realmusaibrahim,"[u'BallonDor2019', u'MESSI', u'AtletiBarca']",2824,7622,,neg
