timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count
12/2/2019 12:47,Online poll  Who do you think is gonna win the Ballon’dor 2019?    #BallonDor2019 #BallonDor #UCL #MESSI #Ronaldo #VanDijk,Ibrahim_Bello_,"[u'BallonDor2019', u'BallonDor', u'UCL', u'MESSI', u'Ronaldo', u'VanDijk']",5088,5817
12/2/2019 12:47,"@BushyBrows6 @ChampionsLeague Admitting brilliance of an opposing player is difficult. You've done good, sir! Messi is deserving the award this year. Ronaldo has had another great season and he'll be shining once again quite soon I believe. #messi &amp; #ronaldo 💯",CR7LM10stats,"[u'messi', u'ronaldo']",0,
12/2/2019 12:43,#Ronaldo some of you keep bellying  Ronald without knowing what  Ronald has achieved the whole of generation can never achieve that.....,taiyehassan7,[u'Ronaldo'],54,
12/2/2019 12:43,It was another weekend of top sporting action across the globe and here are six of the standout performances.⁣⁣ ⁣⁣ #GuardianSports #Iheanacho #Messi #Barcelona #Ronaldo #PremierLeague #Juventus #Champions #Nigeria #Africa #Europe #Football #Soccer #SportsBuzz #TheGuardianNg https://t.co/km0gDJUHS6,GuardianNigeria,"[u'GuardianSports', u'Iheanacho', u'Messi', u'Barcelona', u'Ronaldo', u'PremierLeague', u'Juventus', u'Champions', u'Nigeria', u'Africa', u'Europe', u'Football', u'Soccer', u'SportsBuzz', u'TheGuardianNg']",73819,99612
12/2/2019 12:41,"If #BallonDor2019 comes down to #MESSI and #VanDijk ,Give it to Messi,The two don't campare and Will never.The Only player that can challenge Messi is #Ronaldo . #BallonDor2019  #BallonDor  #MessiBallonDor2019  #Ronaldo  #mondaythoughts",taajir007,"[u'BallonDor2019', u'MESSI', u'VanDijk', u'Ronaldo', u'BallonDor2019', u'BallonDor', u'MessiBallonDor2019', u'Ronaldo', u'mondaythoughts']",539,
12/2/2019 12:40,"Anyone wanna buy this account? Selling or trading very cheap. My fifa ultimate team is worth over 600k, and comes with a lot of coins. Hmu for more info. #fut #fifa #fifaultimateteam #fifa20        #fut20 #fifacoins #messi #ronaldo #football #soccer #FUTChampions #FUTChamps https://t.co/Lh3gEbQOE9",bradrogers2213,"[u'fut', u'fifa', u'fifaultimateteam', u'fifa20', u'fut20', u'fifacoins', u'messi', u'ronaldo', u'football', u'soccer', u'FUTChampions', u'FUTChamps']",36,
12/2/2019 12:39,Hmu if you want fifa 20 coins for your fifa 20 ultimate team. Selling cheap lmk. #fut #fifa #fifaultimateteam #fifa20         #fut20 #fifacoins #messi #ronaldo #football #soccer #futchamps #futchampions,bradrogers2213,"[u'fut', u'fifa', u'fifaultimateteam', u'fifa20', u'fut20', u'fifacoins', u'messi', u'ronaldo', u'football', u'soccer', u'futchamps', u'futchampions']",36,
12/2/2019 12:39,Who do you think should win tonight's Ballon d'Or:  🇦🇷 leomessi 🇳🇱 virgilvandijk 🇵🇹 @cristiano  GO. | coment  👇   #messi #leomessi #lionelmessi #vandijk #virgil #vvd #cristiano #cr7 #ronaldo #cristianoronaldo… https://t.co/P59ivWVB67,ozzyfire06_,"[u'messi', u'leomessi', u'lionelmessi', u'vandijk', u'virgil', u'vvd', u'cristiano', u'cr7', u'ronaldo', u'cristianoronaldo']",675,
12/2/2019 12:39,"#BallonDor2019 one of the most prestigious awards of the world #football , is found ! Among the 30 person nominees for the Ballon d'Or  men ,#VanDijk  #Ronaldo #MESSI  are among the favorites ! 👉 https://t.co/fIbdJrl5xB https://t.co/RUYX5lExGQ",NewEurobet,"[u'BallonDor2019', u'football', u'VanDijk', u'Ronaldo', u'MESSI']",312,
12/2/2019 12:38,Messi the GOAT in the eyes of Ronaldo’s former Real Madrid team-mate Casillas #Messi #Ronaldo https://t.co/6WcqTuzAH4,Burtytweets,"[u'Messi', u'Ronaldo']",2292,8735
12/2/2019 12:37,"Perez conned Juventus by selling the deadwood at 120million, who eventually will help Inter Milan win the League Title in a decade.  #CristianoRonaldo #Ronaldo https://t.co/43KvkuHj8b",FPLWarrioR,"[u'CristianoRonaldo', u'Ronaldo']",2984,9862
12/2/2019 12:33,Click and get the song 'Without You' https://t.co/nZal1RBFgj #DavidoDidntCum #scholes #BallonDor2019 #CardiB #akinalabi #UnbotheredMercy #MrPresident #Ronaldo #Nigerians #osas #MESSI #SocialMediaBill #universityoftransportation #JamesBond #mtnbundlesdontexpire #Davido https://t.co/dNvYR0Tc9W,yakubumohammed_,"[u'DavidoDidntCum', u'scholes', u'BallonDor2019', u'CardiB', u'akinalabi', u'UnbotheredMercy', u'MrPresident', u'Ronaldo', u'Nigerians', u'osas', u'MESSI', u'SocialMediaBill', u'universityoftransportation', u'JamesBond', u'mtnbundlesdontexpire', u'Davido']",67332,98672
12/2/2019 12:30,@XxHomeee Hey! Are you a real fan of @realmadrid ? Let's check it out! Challenge yourself with my quiz! 😁https://t.co/jDAr9ePTe4 #realmadrid #realmadridfans #football #soccer #CR7 #ronaldo #halamadrid #cristianoronaldo #sergioramos #benzema,fansquadapp,"[u'realmadrid', u'realmadridfans', u'football', u'soccer', u'CR7', u'ronaldo', u'halamadrid', u'cristianoronaldo', u'sergioramos', u'benzema']",643,
12/2/2019 12:24,@Sporf @Cristiano Will #Ronaldo win the #BallonDor tonight? Vote and Comment below 👇#Juventus #Football #SerieA #CR7 #Portugal #BallonDor2019 #PitchSideTalk,talk_pitch,"[u'Ronaldo', u'BallonDor', u'Juventus', u'Football', u'SerieA', u'CR7', u'Portugal', u'BallonDor2019', u'PitchSideTalk']",53,
12/2/2019 12:22,The real greatest of all time ...in no time he is gonna get himself back on track   Highlights here: https://t.co/EeCFNmAGND  #BallonDor2019 #AtletiBarca #Ronaldo #MESSI #BallonDor @Cristiano https://t.co/cP94pPRNDX,LyricsMentos,"[u'BallonDor2019', u'AtletiBarca', u'Ronaldo', u'MESSI', u'BallonDor']",10913,11032
