,timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count,,
0,12/2/2019 12:47,Online poll  Who do you think is gonna win the Ballon’dor 2019?    #BallonDor2019 #BallonDor #UCL #MESSI #Ronaldo #VanDijk,Ibrahim_Bello_,"[u'BallonDor2019', u'BallonDor', u'UCL', u'MESSI', u'Ronaldo', u'VanDijk']",5088,5817,,pos
3,12/2/2019 12:43,It was another weekend of top sporting action across the globe and here are six of the standout performances.⁣⁣ ⁣⁣ #GuardianSports #Iheanacho #Messi #Barcelona #Ronaldo #PremierLeague #Juventus #Champions #Nigeria #Africa #Europe #Football #Soccer #SportsBuzz #TheGuardianNg https://t.co/km0gDJUHS6,GuardianNigeria,"[u'GuardianSports', u'Iheanacho', u'Messi', u'Barcelona', u'Ronaldo', u'PremierLeague', u'Juventus', u'Champions', u'Nigeria', u'Africa', u'Europe', u'Football', u'Soccer', u'SportsBuzz', u'TheGuardianNg']",73819,99612,,pos
9,12/2/2019 12:38,Messi the GOAT in the eyes of Ronaldo’s former Real Madrid team-mate Casillas #Messi #Ronaldo https://t.co/6WcqTuzAH4,Burtytweets,"[u'Messi', u'Ronaldo']",2292,8735,,pos
10,12/2/2019 12:37,"Perez conned Juventus by selling the deadwood at 120million, who eventually will help Inter Milan win the League Title in a decade.  #CristianoRonaldo #Ronaldo https://t.co/43KvkuHj8b",FPLWarrioR,"[u'CristianoRonaldo', u'Ronaldo']",2984,9862,,neg
11,12/2/2019 12:33,Click and get the song 'Without You' https://t.co/nZal1RBFgj #DavidoDidntCum #scholes #BallonDor2019 #CardiB #akinalabi #UnbotheredMercy #MrPresident #Ronaldo #Nigerians #osas #MESSI #SocialMediaBill #universityoftransportation #JamesBond #mtnbundlesdontexpire #Davido https://t.co/dNvYR0Tc9W,yakubumohammed_,"[u'DavidoDidntCum', u'scholes', u'BallonDor2019', u'CardiB', u'akinalabi', u'UnbotheredMercy', u'MrPresident', u'Ronaldo', u'Nigerians', u'osas', u'MESSI', u'SocialMediaBill', u'universityoftransportation', u'JamesBond', u'mtnbundlesdontexpire', u'Davido']",67332,98672,,pos
14,12/2/2019 12:22,The real greatest of all time ...in no time he is gonna get himself back on track   Highlights here: https://t.co/EeCFNmAGND  #BallonDor2019 #AtletiBarca #Ronaldo #MESSI #BallonDor @Cristiano https://t.co/cP94pPRNDX,LyricsMentos,"[u'BallonDor2019', u'AtletiBarca', u'Ronaldo', u'MESSI', u'BallonDor']",10913,11032,,pos
17,12/2/2019 12:22,"🚨NEW VIDEO ALERT🚨  Ajebutter22, BOJ &amp; Falz Release Music Video For 'Ronaldo' https://t.co/fEFRVNyHxx 🔥🔥🔥  #RhythmEntertainmentNews #Ajebutter22 #BOJ #Falz #Ronaldo https://t.co/Dp7CS8WcDC",937RhythmFm,"[u'RhythmEntertainmentNews', u'Ajebutter22', u'BOJ', u'Falz', u'Ronaldo']",8372,98171,,neg
18,12/2/2019 12:21,Cristiano Ronaldo For Ballon d’Or Award 2019: 3 Reasons Why Juventus Forward Should Win His Sixth Golden Ball @Cristiano #CristianoRonaldo #Ronaldo #BallonDor2019 #BallonDor   https://t.co/7wIoBWjoHb,latestly,"[u'CristianoRonaldo', u'Ronaldo', u'BallonDor2019', u'BallonDor']",47861,28492,,pos
21,12/2/2019 12:15,"#Cassano show in tv: ""#Ronaldo ha un problema con #Sarri"" ⬇️ https://t.co/E1ayG0r13u",tuttosport,"[u'Cassano', u'Ronaldo', u'Sarri']",545120,84739,,pos
22,12/2/2019 12:12,Its lunch time... Will you like to have a taste of this amazing mozzarella recipe? . . . #EchoesOfCalabar #Echoes #Calabar #Nigeria #Messi #BallonDor2019 #Ronaldo #MrPresident #WarriTwitterHangout #OwerriNkwobiTickets #SocialMediaBill https://t.co/gN07dJwOq0,echoesofcalabar,"[u'EchoesOfCalabar', u'Echoes', u'Calabar', u'Nigeria', u'Messi', u'BallonDor2019', u'Ronaldo', u'MrPresident', u'WarriTwitterHangout', u'OwerriNkwobiTickets', u'SocialMediaBill']",4766,8472,,pos
