timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count
12/2/2019 12:47,Online poll  Who do you think is gonna win the Ballon’dor 2019?    #BallonDor2019 #BallonDor #UCL #MESSI #Ronaldo #VanDijk,Ibrahim_Bello_,"[u'BallonDor2019', u'BallonDor', u'UCL', u'MESSI', u'Ronaldo', u'VanDijk']",5088,6718
12/2/2019 12:45,Today is a big day for football fans.  Who do you think will win the Ballon D'or? Retweet for Messi  Like for Van Dijk  Check my pin tweet   #BallonDor2019 #BallonDor #MESSI #VanDijk https://t.co/OaH48MZs26,Ibrahim_Bello_,"[u'BallonDor2019', u'BallonDor', u'MESSI', u'VanDijk']",5088,3849
12/2/2019 12:44,"It's just funny how Messi fan boys keep shouting Van Dijk can't achieve all he did without his teammates.Claiming take out his teammates, he won't shine and stuff. Forgetting that he's actually a defender not a goal scorer. Same goes w messi too   #BallonDor2019 #MESSI #VanDijk",theYemiiii,"[u'BallonDor2019', u'MESSI', u'VanDijk']",270,
12/2/2019 12:43,@MisturBets They had better not... It belongs to #VanDijk,drew_bet,[u'VanDijk'],3149,3437
12/2/2019 12:41,"If #BallonDor2019 comes down to #MESSI and #VanDijk ,Give it to Messi,The two don't campare and Will never.The Only player that can challenge Messi is #Ronaldo . #BallonDor2019  #BallonDor  #MessiBallonDor2019  #Ronaldo  #mondaythoughts",taajir007,"[u'BallonDor2019', u'MESSI', u'VanDijk', u'Ronaldo', u'BallonDor2019', u'BallonDor', u'MessiBallonDor2019', u'Ronaldo', u'mondaythoughts']",539,
12/2/2019 12:39,Who do you think should win tonight's Ballon d'Or:  🇦🇷 leomessi 🇳🇱 virgilvandijk 🇵🇹 @cristiano  GO. | coment  👇   #messi #leomessi #lionelmessi #vandijk #virgil #vvd #cristiano #cr7 #ronaldo #cristianoronaldo… https://t.co/P59ivWVB67,ozzyfire06_,"[u'messi', u'leomessi', u'lionelmessi', u'vandijk', u'virgil', u'vvd', u'cristiano', u'cr7', u'ronaldo', u'cristianoronaldo']",675,
12/2/2019 12:39,"#BallonDor2019 one of the most prestigious awards of the world #football , is found ! Among the 30 person nominees for the Ballon d'Or  men ,#VanDijk  #Ronaldo #MESSI  are among the favorites ! 👉 https://t.co/fIbdJrl5xB https://t.co/RUYX5lExGQ",NewEurobet,"[u'BallonDor2019', u'football', u'VanDijk', u'Ronaldo', u'MESSI']",312,
12/2/2019 12:37,It's either #Messi or #VanDijk  #BallonDor2019,itssrq,"[u'Messi', u'VanDijk', u'BallonDor2019']",86,
12/2/2019 12:18,1⃣ #AlexanderArnold ➡ #VanDijk 2⃣ #AlexanderArnold ➡ #VanDijk 💥 Che doppietta dell’olandese‼ #SkySport #SkyPremier #LiverpoolBrighton https://t.co/GGKKSGnU70,SkySport,"[u'AlexanderArnold', u'VanDijk', u'AlexanderArnold', u'VanDijk', u'SkySport', u'SkyPremier', u'LiverpoolBrighton']",7381,8752
12/2/2019 12:15,#FAQ: How to deposit using using USSD via VODAFONE  Play here👉 https://t.co/rceiYva7DR Register here👉https://t.co/4s5w1SRvlO . . #Betyetu #CreateABet #TopPlayers #BallonDor2019 #Ronaldo #Messi #VanDijk #Salah #Mane #Juventus #RealMadrid #Roma #Bayern #AskManifest #Vodafone #MTN https://t.co/rirCqa6a0C,betyetughana,"[u'FAQ', u'Betyetu', u'CreateABet', u'TopPlayers', u'BallonDor2019', u'Ronaldo', u'Messi', u'VanDijk', u'Salah', u'Mane', u'Juventus', u'RealMadrid', u'Roma', u'Bayern', u'AskManifest', u'Vodafone', u'MTN']",719,
12/2/2019 12:13,Virgil van Dijk Might Just Pip Messi and Ronaldo To Win Ballon d'Or 2019 Trophy #BallonDor #BallonDor2019 @VirgilvDijk #VirgilVanDijk #VanDijk #LionelMessi #CristianoRonaldo @LFC  https://t.co/DggQapplZ0,latestly,"[u'BallonDor', u'BallonDor2019', u'VirgilVanDijk', u'VanDijk', u'LionelMessi', u'CristianoRonaldo']",47863,56721
12/2/2019 12:10,Is this true though? #BallonDor2019 #Messi #VanDijk https://t.co/DLB1grSxth,Tkaynoel,"[u'BallonDor2019', u'Messi', u'VanDijk']",2218,2176
12/2/2019 12:07,The six times reds! https://t.co/Ug9QYCTDN6  #ynwa #livbha #liverpoolfc #liverpool #jft96 #bpl #livbri #premierleague #lfc #vandijk #sadiomane #mosalah #motd #scouse #vandijk #motd2 #december1st #cybermonday #blackfriday #firmino #football https://t.co/Ryk5YTstm0,TheTwelfthRed,"[u'ynwa', u'livbha', u'liverpoolfc', u'liverpool', u'jft96', u'bpl', u'livbri', u'premierleague', u'lfc', u'vandijk', u'sadiomane', u'mosalah', u'motd', u'scouse', u'vandijk', u'motd2', u'december1st', u'cybermonday', u'blackfriday', u'firmino', u'football']",52,
12/2/2019 12:06,Nice can of unbearable! https://t.co/M2vTn5DiMx   #ynwa #livbha #liverpoolfc #liverpool #jft96 #bpl #livbri #premierleague #lfc #vandijk #sadiomane #mosalah #motd #scouse #vandijk #motd2 #december1st #cybermonday #blackfriday #firmino #football https://t.co/MhZK7I70g0,TheTwelfthRed,"[u'ynwa', u'livbha', u'liverpoolfc', u'liverpool', u'jft96', u'bpl', u'livbri', u'premierleague', u'lfc', u'vandijk', u'sadiomane', u'mosalah', u'motd', u'scouse', u'vandijk', u'motd2', u'december1st', u'cybermonday', u'blackfriday', u'firmino', u'football']",52,
12/2/2019 12:06,Who will be the winner of  #BallonDor2019 ?  #MESSI  #CristianoRonaldo  #VanDijk,PrinceC90072586,"[u'BallonDor2019', u'MESSI', u'CristianoRonaldo', u'VanDijk']",132,
12/2/2019 12:03,My #BallonDor2019 Top 5 not what I'd pick but what will happen because fifa is a joke and a scam #FIFA and everyone still Sucking  off Liverpool  #BallonDor #Messi #VanDijk #sadiomane  #Ronaldo #Salah 1 Messi 🇦🇷 2 Van Dijk  🇳🇱 3 Mo Salah  🇪🇬 4 Ronaldo 🇵🇹 5 Sadio Mane 🇸🇳,VanDammeBushell,"[u'BallonDor2019', u'FIFA', u'BallonDor', u'Messi', u'VanDijk', u'sadiomane', u'Ronaldo', u'Salah']",441,
12/2/2019 12:03,"Messi won #FifaTheBest prize, but Van Dijk was the most voted player by the journalists, #BallonDor is all voted from journalists. It is a fact that #VanDijk should win it. #Messi has the best stats, but didn’t win something interesting. #Ronaldo won three trophies last year.🤷🏻‍♂️",florentimeraj,"[u'FifaTheBest', u'BallonDor', u'VanDijk', u'Messi', u'Ronaldo']",998,
12/2/2019 12:02,The boss 💪 https://t.co/7rmxZeznsl  #ynwa #livbha #liverpoolfc #liverpool #jft96 #bpl #livbri #premierleague #lfc #vandijk #sadiomane #mosalah #motd #scouse #vandijk #motd2 #december1st #cybermonday #blackfriday #firmino #football https://t.co/u8zvc0mV9B,TheTwelfthRed,"[u'ynwa', u'livbha', u'liverpoolfc', u'liverpool', u'jft96', u'bpl', u'livbri', u'premierleague', u'lfc', u'vandijk', u'sadiomane', u'mosalah', u'motd', u'scouse', u'vandijk', u'motd2', u'december1st', u'cybermonday', u'blackfriday', u'firmino', u'football']",52,
12/2/2019 11:59,The Ballon d'Or 2019 winner will be announced in Paris later today.  We'll take a look at the top 3 contenders' (2018/19) season  Could it be the 6th for either #Messi or #Ronaldo?  Or the 1st for #VanDijk?  Who deserve the Ballon d'Or 2019?  #BallonDor2019 #GetSporty #BetSporty https://t.co/10vbdF7vB3,sportybetng,"[u'Messi', u'Ronaldo', u'VanDijk', u'BallonDor2019', u'GetSporty', u'BetSporty']",6706,7681
12/2/2019 11:58,Who's going to win? #BallonDor #Messi #Ronaldo #VanDijk #Salah,tuzuner_kemal,"[u'BallonDor', u'Messi', u'Ronaldo', u'VanDijk', u'Salah']",50,
