,timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count,,
0,12/2/2019 12:47,Online poll  Who do you think is gonna win the Ballon’dor 2019?    #BallonDor2019 #BallonDor #UCL #MESSI #Ronaldo #VanDijk,Ibrahim_Bello_,"[u'BallonDor2019', u'BallonDor', u'UCL', u'MESSI', u'Ronaldo', u'VanDijk']",5088,6718,,pos
1,12/2/2019 12:45,Today is a big day for football fans.  Who do you think will win the Ballon D'or? Retweet for Messi  Like for Van Dijk  Check my pin tweet   #BallonDor2019 #BallonDor #MESSI #VanDijk https://t.co/OaH48MZs26,Ibrahim_Bello_,"[u'BallonDor2019', u'BallonDor', u'MESSI', u'VanDijk']",5088,3849,,pos
3,12/2/2019 12:43,@MisturBets They had better not... It belongs to #VanDijk,drew_bet,[u'VanDijk'],3149,3437,,neg
8,12/2/2019 12:18,1⃣ #AlexanderArnold ➡ #VanDijk 2⃣ #AlexanderArnold ➡ #VanDijk 💥 Che doppietta dell’olandese‼ #SkySport #SkyPremier #LiverpoolBrighton https://t.co/GGKKSGnU70,SkySport,"[u'AlexanderArnold', u'VanDijk', u'AlexanderArnold', u'VanDijk', u'SkySport', u'SkyPremier', u'LiverpoolBrighton']",7381,8752,,neg
10,12/2/2019 12:13,Virgil van Dijk Might Just Pip Messi and Ronaldo To Win Ballon d'Or 2019 Trophy #BallonDor #BallonDor2019 @VirgilvDijk #VirgilVanDijk #VanDijk #LionelMessi #CristianoRonaldo @LFC  https://t.co/DggQapplZ0,latestly,"[u'BallonDor', u'BallonDor2019', u'VirgilVanDijk', u'VanDijk', u'LionelMessi', u'CristianoRonaldo']",47863,56721,,pos
11,12/2/2019 12:10,Is this true though? #BallonDor2019 #Messi #VanDijk https://t.co/DLB1grSxth,Tkaynoel,"[u'BallonDor2019', u'Messi', u'VanDijk']",2218,2176,,pos
18,12/2/2019 11:59,The Ballon d'Or 2019 winner will be announced in Paris later today.  We'll take a look at the top 3 contenders' (2018/19) season  Could it be the 6th for either #Messi or #Ronaldo?  Or the 1st for #VanDijk?  Who deserve the Ballon d'Or 2019?  #BallonDor2019 #GetSporty #BetSporty https://t.co/10vbdF7vB3,sportybetng,"[u'Messi', u'Ronaldo', u'VanDijk', u'BallonDor2019', u'GetSporty', u'BetSporty']",6706,7681,,pos
20,12/2/2019 11:56,"🕰️ Flashback! 🕰️  ""Messi is the best player in the world. I think he deserves the Ballon d'Or."" 🏆   Speaking after winning the #UCL in June, Virgil van Dijk backed Lionel Messi to win the #BallonDor   #Messi #VanDijk #Barca #LFC https://t.co/pzEk1a6En3",OmnisportNews,"[u'UCL', u'BallonDor', u'Messi', u'VanDijk', u'Barca', u'LFC']",5448,6452,,pos
22,12/2/2019 11:52,"#BallonDor2019: Finalists, live streaming, time in India (IST) &amp; where to watch on TV  #BallonDor #MESSI #Ronaldo #VanDijk   https://t.co/0wB6y3YCNw",dna,"[u'BallonDor2019', u'BallonDor', u'MESSI', u'Ronaldo', u'VanDijk']",76282,98735,,pos
33,12/2/2019 10:54,So... #BallonDor tonight.  #Messi has it in the bag right? #VanDijk more deserving?,MarcLewisZA,"[u'BallonDor', u'Messi', u'VanDijk']",12119,7625,,neg
36,12/2/2019 10:40,Virgil van Dijk already feels like a winner after being nominated for this year's Ballon d'Or. . . . #BallondOr #VanDijk #Liverpool #EPL #Messi #Ronaldo #FranceFootball https://t.co/U7W6bueHSz,365Scores,"[u'BallondOr', u'VanDijk', u'Liverpool', u'EPL', u'Messi', u'Ronaldo', u'FranceFootball']",16065,19872,,pos
39,12/2/2019 10:10,#VanDijk Says No Losers in Ballon D’Or Awards https://t.co/QON1NOq4Nb https://t.co/4FO70yw653,aawsat_eng,[u'VanDijk'],13625,21001,,pos
41,12/2/2019 10:01,Even Virgil van Dijk thinks Leo Messi should win the Ballon d'Or 🐐  #VanDijk #Messi #Ballondor https://t.co/6ouH4xI5rf,GiveMeSport,"[u'VanDijk', u'Messi', u'Ballondor']",57450,61531,,pos
44,12/2/2019 9:45,"#VanDijk: 🗣️ ""I am very proud to be in that bracket,"" #BallonDor  https://t.co/fImVLhNbnW",beINSPORTS_EN,"[u'VanDijk', u'BallonDor']",10876,11308,,pos
45,12/2/2019 9:42,"#BallonDor2019 Whoever takes the #BallonDor today,  #history will be made #record will be #broken   #Messi #Ronaldo #VanDijk  ... The football world has been blessed with unbelievable #talents   #Barcelona #Juventus #Liverpool #Argentina #Portugal #Netherland #GOAT #TheGOAT https://t.co/vq4zmWlWZn",hotjist,"[u'BallonDor2019', u'BallonDor', u'history', u'record', u'broken', u'Messi', u'Ronaldo', u'VanDijk', u'talents', u'Barcelona', u'Juventus', u'Liverpool', u'Argentina', u'Portugal', u'Netherland', u'GOAT', u'TheGOAT']",8649,9876,,neg
46,12/2/2019 9:41,"Yh Messi Had A Great Season Than Any Other Player But The Problem Is That He Did Not Collect The Champions League,The Champions League Is The Biggest Trophy Of 2019 So Guyz Don't Be Suprise If The BallonDor Is Given To Virgil Van Dijk.#BallonDor2019 #VanDijk https://t.co/BjYctvMUiO",LittleMhan,"[u'BallonDor2019', u'VanDijk']",1842,1907,,pos
53,12/2/2019 8:59,"Team Of The Week 12 Prediction!  91 #VanDijk 🇳🇱, 91 #TerStegen 🇩🇪 &amp; 86 #Carvajal 🇪🇸   Collab with @ElitageDZN #TOTW #FUT #FIFA20 https://t.co/JHr8J9ierY",HarrisonDZN,"[u'VanDijk', u'TerStegen', u'Carvajal', u'TOTW', u'FUT', u'FIFA20']",2144,3425,,neg
60,12/2/2019 7:13,greatest of last year #VanDijk https://t.co/JwRLxuWoBy https://t.co/rzF2URBg5h,magicmo11lfc,[u'VanDijk'],5316,6534,,pos
